wbid	bc4289	N2
2L52.1	WBGene00007063	720.999554300098	366.520195395402
2RSSE.1	WBGene00007064	2939.98857549931	1626.81304119079
2RSSE.2	WBGene00044165	193.999378765284	132.481785261661
3R5.1	WBGene00007065	156.999950575168	42.7583280404945
4R79.1	WBGene00003525	27.9996359985644	39.4429899287492
4R79.2	WBGene00007067	1.00003269901291	9.56566796462052
6R55.2	WBGene00007069	0.18394748562315	0.815956804040527
AC3.1	WBGene00005532	4.99999930227518	5.98963401229701
AC3.10	WBGene00004964	0.183946799536228	1.26058577830766
AC3.2	WBGene00007070	295.999327249239	188.095009283192
AC3.3	WBGene00000024	0.183957476696286	3.83955328039259
AC3.4	WBGene00004098	1.00000587278538	0.40150011415565
AC3.5	WBGene00007071	3.00001755945702	17.0847376302831
AC3.6	WBGene00000724	0.183945005291448	2.59708634146561
AC3.7	WBGene00007072	50.9999125812721	40.7578129876706
AC3.8	WBGene00007073	5.99999414615182	7.7410447500278
AC7.1	WBGene00006428	1.00002066061908	4.31259189798564
AC7.2	WBGene00004929	687.994814254054	722.715472005165
AC7.3	WBGene00014997	0.18394822277792	0.789267183382624
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.183959202935414	0.625645553626113
AC8.7	WBGene00007079	0.999995517306766	0.218819467230077
AH10.1	WBGene00007082	6.99998536423893	7.11195293347043
AH10.2	WBGene00007083	43.9998486399714	39.3446323904828
AH10.3	WBGene00007084	29.9997644603721	40.0244341675453
AH10.4	WBGene00007085	0.183955378849543	0.27217401880433
AH6.1	WBGene00001528	0.183955420361598	0.274644395875014
AH6.10	WBGene00005032	0.183956594710297	1.14583195533102
AH6.11	WBGene00005033	0.183955420361598	0.274644395875015
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.183955420361598	0.274644395875014
AH6.2	WBGene00007080	0.183956613609052	0.356095390804563
AH6.3	WBGene00007081	0.183954128952728	0.950279884879519
AH6.4	WBGene00005027	1.00000534106848	1.24400713208713
AH6.5	WBGene00003231	6379.94199753621	3982.41002452747
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	0.183955420361598	0.274644395875014
AH6.8	WBGene00005030	NA	NA
AH9.1	WBGene00014998	12.9999942216872	13.4654917521779
AH9.2	WBGene00000797	348.998191822539	193.710351576428
AH9.3	WBGene00014999	1277.99950586746	652.603708369503
AH9.4	WBGene00015000	2.00000801261595	6.18186979219536
AH9.6	WBGene00044701	4.00007337884979	29.6474791022357
AH9.7	WBGene00175029	37.9999629485959	14.0339822532755
B0001.1	WBGene00003010	1195.99495529382	607.775986890617
B0001.2	WBGene00007087	472.999247198472	246.283685947403
B0001.3	WBGene00007088	1041.99953906759	460.396375546969
B0001.4	WBGene00007089	1296.99924193511	509.266748036165
B0001.5	WBGene00007090	1562.99973923658	573.312428545573
B0001.6	WBGene00007091	7043.98073120481	2652.02842407597
B0001.7	WBGene00007092	1417.98900512759	862.830088018588
B0001.8	WBGene00007093	1077.99711781565	602.916235459603
B0019.1	WBGene00000138	200.997827654438	154.354139566335
B0019.2	WBGene00007094	990.998515146067	477.131787663694
B0024.1	WBGene00000722	2.00000936691243	7.21241246683517
B0024.10	WBGene00007100	803.999492480477	416.161940074506
B0024.11	WBGene00007101	915.998516073065	492.825623523912
B0024.12	WBGene00001646	320.999496610128	126.358073894647
B0024.13	WBGene00007102	421.999083360423	289.570504247893
B0024.14	WBGene00007103	359.998771675428	208.236613566355
B0024.15	WBGene00007104	2.00001114024698	2.66285749916955
B0024.2	WBGene00000723	6.99998720182299	7.41188528762027
B0024.3	WBGene00007096	28.9999841670686	15.9335056637197
B0024.4	WBGene00007097	1.00003648786561	3.2433884889452
B0024.6	WBGene00001533	3.99999274700151	2.98688710254454
B0024.8	WBGene00000491	100.999028158853	125.439185753417
B0024.9	WBGene00007099	320.999883679185	243.539949968629
B0025.1	WBGene00006932	1927.99940198357	962.881258151237
B0025.2	WBGene00000814	3134.99252405904	2011.30112848056
B0025.4	WBGene00015001	598.999125617476	368.176542244542
B0025.5	WBGene00194700	4.99996110931543	1.8027221780642
B0034.1	WBGene00015002	9.00002274270084	36.5509255441161
B0034.2	WBGene00015003	NA	NA
B0034.3	WBGene00000403	1851.98652782218	2211.84477389854
B0034.4	WBGene00015004	0.183960587632003	0.845704357038685
B0034.5	WBGene00015005	2.00000716867705	5.12516011801187
B0034.7	WBGene00044394	43.9994114461152	72.5759580178435
B0035.1	WBGene00007105	5761.98650033966	2845.37203927161
B0035.10	WBGene00001919	23.9999705667945	12.2245804416768
B0035.11	WBGene00007110	2203.99531651787	1277.40752545484
B0035.12	WBGene00007111	836.999028419973	521.692375064616
B0035.13	WBGene00007112	4.0000441347079	15.8185876510097
B0035.14	WBGene00001019	1479.9972425824	858.945287433954
B0035.15	WBGene00007113	356.99984460846	174.921250098231
B0035.16	WBGene00007114	75.9998962817827	46.6430217760234
B0035.18	WBGene00044290	337.998977502349	138.90710695469
B0035.2	WBGene00001020	306.999762707348	184.528764568625
B0035.3	WBGene00007106	434.999513745717	198.137151329657
B0035.4	WBGene00007107	896.999243277531	583.59946192826
B0035.5	WBGene00007108	541.99975173738	331.121509626741
B0035.6	WBGene00007109	1966.983171973	1709.08226995208
B0035.7	WBGene00001921	15.9999758284935	13.2196933994719
B0035.8	WBGene00001922	59.9998469465698	24.2695566662535
B0035.9	WBGene00001920	NA	NA
B0041.1	WBGene00015006	2.00000477209489	2.84018681469763
B0041.2	WBGene00015007	8712.99437654301	4845.91882071346
B0041.3	WBGene00015008	300.999572997314	161.288454453121
B0041.4	WBGene00004415	17491.9498287846	13386.6926072632
B0041.5	WBGene00015009	1052.99909477798	681.43612482586
B0041.6	WBGene00015010	103.999679059097	77.7228283656303
B0041.7	WBGene00006961	5990.99522522562	3146.7567475659
B0041.8	WBGene00015011	950.996411400247	496.382122816047
B0047.1	WBGene00015012	3.0000001542365	2.4666225893449
B0047.2	WBGene00015013	7.9999900480618	4.18738484311315
B0047.3	WBGene00015014	13.9999871120273	9.77949485246968
B0047.4	WBGene00015015	0.183955378849543	0.27217401880433
B0198.1	WBGene00006646	209.996618261909	125.749362075815
B0198.2	WBGene00007115	11.9999911496416	29.6979191267755
B0198.3	WBGene00007116	361.989969359555	233.178212454171
B0205.1	WBGene00015017	1590.99409579173	915.877594454124
B0205.10	WBGene00015024	8.99995411636927	5.91249318982976
B0205.11	WBGene00015025	986.999701238704	495.541757097517
B0205.12	WBGene00044413	318.998622317499	126.98755384118
B0205.13	WBGene00044644	3.00002218026884	9.75403141375989
B0205.14	WBGene00044646	0.183956341342743	0.335605875262028
B0205.2	WBGene00015018	0.183955420361598	0.274644395875014
B0205.3	WBGene00004466	2993.97988907969	1858.8275452549
B0205.4	WBGene00015019	60.9986687224991	41.8638241052226
B0205.5	WBGene00015020	0.183955420361598	0.274644395875014
B0205.6	WBGene00015021	520.999496135207	342.891835620991
B0205.7	WBGene00002191	11317.9761552369	7035.11640675679
B0205.8	WBGene00015022	837.998759834274	474.001505200076
B0205.9	WBGene00015023	1281.99506974877	805.082900077192
B0207.1	WBGene00015026	1.99997916888473	0.429511309891125
B0207.10	WBGene00015033	2.99996772960764	1.27433942206458
B0207.11	WBGene00015034	0.183955420361598	0.274644395875015
B0207.12	WBGene00000232	40.9998284268311	92.8204546484213
B0207.2	WBGene00015027	2.00000794092485	5.86898172855474
B0207.3	WBGene00001676	7.99998675942792	7.01614720913411
B0207.4	WBGene00000099	2537.9904996055	1293.06361346636
B0207.5	WBGene00015028	33.9999336004029	33.608909260764
B0207.6	WBGene00015029	307.999775376982	144.78548364046
B0207.7	WBGene00015030	0.183957490529993	0.430982563808303
B0207.8	WBGene00015031	NA	NA
B0207.9	WBGene00015032	0.183956565107552	0.352355945470304
B0212.1	WBGene00015035	31.9999429865216	45.7006957597725
B0212.2	WBGene00015036	0.183958927098124	0.589188652827816
B0212.3	WBGene00015037	568.998933793808	243.845611500623
B0212.4	WBGene00015038	29.9999530815915	22.7464727255516
B0212.5	WBGene00003889	25.9999247188566	52.4056551263076
B0212.6	WBGene00044111	5.00000452721548	10.1308456900717
B0213.10	WBGene00015040	0.183944509945359	0.988237892181995
B0213.11	WBGene00015041	12.9999745947502	6.14480334138929
B0213.12	WBGene00015042	1.00000642467896	0.593446927532299
B0213.14	WBGene00015043	0.183953593305092	5.63097447851253
B0213.15	WBGene00015044	11.999988657835	9.48531921880143
B0213.16	WBGene00015045	0.183956613609052	0.356095390804563
B0213.17	WBGene00015046	56.9997235093722	80.9434624234263
B0213.2	WBGene00003765	1.00001806543917	5.9356805688357
B0213.3	WBGene00003766	1.0000148103334	1.08374406683381
B0213.4	WBGene00003767	29.999882439682	136.114664453701
