wbid	bc4289	N2	bc4289vsN2.log2.deseq	bc4289vsN2.log2	bc4289vsN2.log2.pval
2L52.1	WBGene00007063	720.999554300098	366.520195395402	-0.102103160533131	0.976105674068318	0.999280089884522
2RSSE.1	WBGene00007064	2939.98857549931	1626.81304119079	0.0202404258163964	0.85376208771879	0.999280089884522
2RSSE.2	WBGene00044165	193.999378765284	132.481785261661	0.323744500141638	0.550258013393554	0.999280089884522
3R5.1	WBGene00007065	156.999950575168	42.7583280404945	-1.00248424518572	1.87648675872091	0.339555301665768
4R79.1	WBGene00003525	27.9996359985644	39.4429899287492	1.36836335923214	-0.494360845696946	0.999280089884522
4R79.2	WBGene00007067	1.00003269901291	9.56566796462052	4.13182105418542	-3.25781854065023	0.999280089884522
6R55.2	WBGene00007069	0.18394748562315	0.815956804040527	3.02320133662374	-2.14919882308865	0.999280089884522
AC3.1	WBGene00005532	4.99999930227518	5.98963401229701	1.13454247193509	-0.260539958399893	0.999280089884522
AC3.10	WBGene00004964	0.183946799536228	1.26058577830766	3.65073632485721	-2.77673381132223	0.999280089884522
AC3.2	WBGene00007070	295.999327249239	188.095009283192	0.219870187054867	0.65413232648032	0.999280089884522
AC3.3	WBGene00000024	0.183957476696286	3.83955328039259	5.25749676239052	-4.38349424885532	0.999280089884522
AC3.4	WBGene00004098	1.00000587278538	0.40150011415565	-0.442533656031762	1.31653616956704	0.999280089884522
AC3.5	WBGene00007071	3.00001755945702	17.0847376302831	3.38366775593239	-2.50966524239719	0.999280089884522
AC3.6	WBGene00000724	0.183945005291448	2.59708634146561	4.69355008341829	-3.81954756988303	0.999280089884522
AC3.7	WBGene00007072	50.9999125812721	40.7578129876706	0.550584379768592	0.323418133766625	0.999280089884522
AC3.8	WBGene00007073	5.99999414615182	7.7410447500278	1.24156970947225	-0.367567195937066	0.999280089884522
AC7.1	WBGene00006428	1.00002066061908	4.31259189798564	2.98252790668755	-2.10852539315235	0.999280089884522
AC7.2	WBGene00004929	687.994814254054	722.715472005165	0.94503260291716	-0.0710300893819669	0.999280089884522
AC7.3	WBGene00014997	0.18394822277792	0.789267183382624	2.97521654104948	-2.10121402751452	0.999280089884522
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.183959202935414	0.625645553626113	2.63996222160492	-1.76595970806973	0.999280089884522
AC8.7	WBGene00007079	0.999995517306766	0.218819467230077	-1.31817802126292	2.19218053479811	0.999280089884522
AH10.1	WBGene00007082	6.99998536423893	7.11195293347043	0.896896384420289	-0.0228938708850934	0.999280089884522
AH10.2	WBGene00007083	43.9998486399714	39.3446323904828	0.712670781490312	0.161331732044898	0.999280089884522
AH10.3	WBGene00007084	29.9997644603721	40.0244341675453	1.28993234717282	-0.415929833637631	0.999280089884522
AH10.4	WBGene00007085	0.183955378849543	0.27217401880433	1.43917600883753	-0.565173495302335	0.999280089884522
AH6.1	WBGene00001528	0.183955420361598	0.274644395875014	1.4522111806181	-0.578208667082908	0.999280089884522
AH6.10	WBGene00005032	0.183956594710297	1.14583195533102	3.51296068940343	-2.63895817586839	0.999280089884522
AH6.11	WBGene00005033	0.183955420361598	0.274644395875015	1.4522111806181	-0.578208667082907	0.999280089884522
AH6.12	WBGene00005034	NA	NA	NA	NA	NA
AH6.14	WBGene00005035	0.183955420361598	0.274644395875014	1.4522111806181	-0.578208667082908	0.999280089884522
AH6.2	WBGene00007080	0.183956613609052	0.356095390804563	1.82690073050864	-0.952898216973444	0.999280089884522
AH6.3	WBGene00007081	0.183954128952728	0.950279884879519	3.24300894616793	-2.36900643263272	0.999280089884522
AH6.4	WBGene00005027	1.00000534106848	1.24400713208713	1.18898956471094	-0.314987051175728	0.999280089884522
AH6.5	WBGene00003231	6379.94199753621	3982.41002452747	0.194100972561173	0.679901540974021	0.999280089884522
AH6.6	WBGene00005028	NA	NA	NA	NA	NA
AH6.7	WBGene00005029	0.183955420361598	0.274644395875014	1.4522111806181	-0.578208667082908	0.999280089884522
AH6.8	WBGene00005030	NA	NA	NA	NA	NA
AH9.1	WBGene00014998	12.9999942216872	13.4654917521779	0.924758448751154	-0.0507559352159094	0.999280089884522
AH9.2	WBGene00000797	348.998191822539	193.710351576428	0.0246840031119976	0.849318510423188	0.999280089884522
AH9.3	WBGene00014999	1277.99950586746	652.603708369503	-0.0956056743711425	0.969608187906342	0.999280089884522
AH9.4	WBGene00015000	2.00000801261595	6.18186979219536	2.50204000091106	-1.62803748737586	0.999280089884522
AH9.6	WBGene00044701	4.00007337884979	29.6474791022357	3.76381358179913	-2.88981106826394	0.999280089884522
AH9.7	WBGene00175029	37.9999629485959	14.0339822532755	-0.563071055179413	1.43707356871467	0.999280089884522
B0001.1	WBGene00003010	1195.99495529382	607.775986890617	-0.102597210224329	0.976599723759515	0.999280089884522
B0001.2	WBGene00007087	472.999247198472	246.283685947403	-0.0675143083249049	0.941516821860097	0.999280089884522
B0001.3	WBGene00007088	1041.99953906759	460.396375546969	-0.30440374483438	1.17840625836957	0.999280089884522
B0001.4	WBGene00007089	1296.99924193511	509.266748036165	-0.474681696459779	1.34868420999496	0.999280089884522
B0001.5	WBGene00007090	1562.99973923658	573.312428545573	-0.572921564177363	1.44692407771253	0.537977753287637
B0001.6	WBGene00007091	7043.98073120481	2652.02842407597	-0.535292211009497	1.4092947245447	0.999280089884522
B0001.7	WBGene00007092	1417.98900512759	862.830088018588	0.157304558513077	0.716697955022119	0.999280089884522
B0001.8	WBGene00007093	1077.99711781565	602.916235459603	0.0356786769151113	0.838323836620083	0.999280089884522
B0019.1	WBGene00000138	200.997827654438	154.354139566335	0.493066778989383	0.380935734545811	0.999280089884522
B0019.2	WBGene00007094	990.998515146067	477.131787663694	-0.180492576901913	1.05449509043711	0.999280089884522
B0024.1	WBGene00000722	2.00000936691243	7.21241246683517	2.7244776614038	-1.8504751478686	0.999280089884522
B0024.10	WBGene00007100	803.999492480477	416.161940074506	-0.0760470471750002	0.950049560710191	0.999280089884522
B0024.11	WBGene00007101	915.998516073065	492.825623523912	-0.0202654794612829	0.894267992996481	0.999280089884522
B0024.12	WBGene00001646	320.999496610128	126.358073894647	-0.471050670355961	1.34505318389114	0.999280089884522
B0024.13	WBGene00007102	421.999083360423	289.570504247893	0.330677304816941	0.543325208718249	0.999280089884522
B0024.14	WBGene00007103	359.998771675428	208.236613566355	0.0842342847987193	0.789768228736466	0.999280089884522
B0024.15	WBGene00007104	2.00001114024698	2.66285749916955	1.28696970343456	-0.412967189899369	0.999280089884522
B0024.2	WBGene00000723	6.99998720182299	7.41188528762027	0.956490782388469	-0.0824882688532804	0.999280089884522
B0024.3	WBGene00007096	28.9999841670686	15.9335056637197	0.0100141221319247	0.863988391403318	0.999280089884522
B0024.4	WBGene00007097	1.00003648786561	3.2433884889452	2.57145171195227	-1.69744919841707	0.999280089884522
B0024.6	WBGene00001533	3.99999274700151	2.98688710254454	0.452647837632159	0.421354675903031	0.999280089884522
B0024.8	WBGene00000491	100.999028158853	125.439185753417	1.18664920233319	-0.312646688798	0.999280089884522
B0024.9	WBGene00007099	320.999883679185	243.539949968629	0.475588188468223	0.39841432506697	0.999280089884522
B0025.1	WBGene00006932	1927.99940198357	962.881258151237	-0.127672288546511	1.00167480208171	0.999280089884522
B0025.2	WBGene00000814	3134.99252405904	2011.30112848056	0.233669606451564	0.640332907083619	0.999280089884522
B0025.4	WBGene00015001	598.999125617476	368.176542244542	0.171846327181309	0.702156186353889	0.999280089884522
B0025.5	WBGene00194700	4.99996110931543	1.8027221780642	-0.597737283198834	1.47173979673397	0.999280089884522
B0034.1	WBGene00015002	9.00002274270084	36.5509255441161	2.89590989996885	-2.02190738643366	0.999280089884522
B0034.2	WBGene00015003	NA	NA	NA	NA	NA
B0034.3	WBGene00000403	1851.98652782218	2211.84477389854	1.13017905125443	-0.256176537719244	0.999280089884522
B0034.4	WBGene00015004	0.183960587632003	0.845704357038685	3.07475921360608	-2.20075670007089	0.999280089884522
B0034.5	WBGene00015005	2.00000716867705	5.12516011801187	2.23159441980697	-1.35759190627179	0.999280089884522
B0034.7	WBGene00044394	43.9994114461152	72.5759580178435	1.59600999858157	-0.722007485046381	0.999280089884522
B0035.1	WBGene00007105	5761.98650033966	2845.37203927161	-0.143946466171903	1.0179489797071	0.999280089884522
B0035.10	WBGene00001919	23.9999705667945	12.2245804416768	-0.0992451715320884	0.973247685067267	0.999280089884522
B0035.11	WBGene00007110	2203.99531651787	1277.40752545484	0.0871002101892507	0.786902303345945	0.999280089884522
B0035.12	WBGene00007111	836.999028419973	521.692375064616	0.191975912846361	0.68202660068884	0.999280089884522
B0035.13	WBGene00007112	4.0000441347079	15.8185876510097	2.85753548605438	-1.98353297251919	0.999280089884522
B0035.14	WBGene00001019	1479.9972425824	858.945287433954	0.0890461691034213	0.784956344431772	0.999280089884522
B0035.15	WBGene00007113	356.99984460846	174.921250098231	-0.155215368773907	1.02921788230909	0.999280089884522
B0035.16	WBGene00007114	75.9998962817827	46.6430217760234	0.169666320652965	0.704336192882261	0.999280089884522
B0035.18	WBGene00044290	337.998977502349	138.90710695469	-0.408895954272543	1.28289846780775	0.999280089884522
B0035.2	WBGene00001020	306.999762707348	184.528764568625	0.139610695933245	0.734391817601941	0.999280089884522
B0035.3	WBGene00007106	434.999513745717	198.137151329657	-0.260511859362751	1.13451437289795	0.999280089884522
B0035.4	WBGene00007107	896.999243277531	583.59946192826	0.25387429857886	0.62012821495634	0.999280089884522
B0035.5	WBGene00007108	541.99975173738	331.121509626741	0.163071053914655	0.710931459620542	0.999280089884522
B0035.6	WBGene00007109	1966.983171973	1709.08226995208	0.671239744056075	0.202762769479109	0.999280089884522
B0035.7	WBGene00001921	15.9999758284935	13.2196933994719	0.598621505155744	0.275381008379446	0.999280089884522
B0035.8	WBGene00001922	59.9998469465698	24.2695566662535	-0.43180855210905	1.30581106564426	0.999280089884522
B0035.9	WBGene00001920	NA	NA	NA	NA	NA
B0041.1	WBGene00015006	2.00000477209489	2.84018681469763	1.3799848980338	-0.505982384498711	0.999280089884522
B0041.2	WBGene00015007	8712.99437654301	4845.91882071346	0.0276041383384965	0.846398375196703	0.999280089884522
B0041.3	WBGene00015008	300.999572997314	161.288454453121	-0.0261157573880487	0.900118270923231	0.999280089884522
B0041.4	WBGene00004415	17491.9498287846	13386.6926072632	0.488110962211783	0.385891551323402	0.999280089884522
B0041.5	WBGene00015009	1052.99909477798	681.43612482586	0.246148653253657	0.627853860281533	0.999280089884522
B0041.6	WBGene00015010	103.999679059097	77.7228283656303	0.453833744545563	0.420168768989614	0.999280089884522
B0041.7	WBGene00006961	5990.99522522562	3146.7567475659	-0.0549275112629171	0.928930024798112	0.999280089884522
B0041.8	WBGene00015011	950.996411400247	496.382122816047	-0.0639862257338426	0.937988739269038	0.999280089884522
B0047.1	WBGene00015012	3.0000001542365	2.4666225893449	0.591576928648399	0.282425584886998	0.999280089884522
B0047.2	WBGene00015013	7.9999900480618	4.18738484311315	-0.0599461761830095	0.933948689718194	0.999280089884522
B0047.3	WBGene00015014	13.9999871120273	9.77949485246968	0.356408866080013	0.517593647455205	0.999280089884522
B0047.4	WBGene00015015	0.183955378849543	0.27217401880433	1.43917600883753	-0.565173495302335	0.999280089884522
