wbid	bc4289	N2
2L52.1	WBGene00007063	32.4656130137588	47.4972701675228
2RSSE.1	WBGene00007064	382.102362610266	422.264472502642
2RSSE.2	WBGene00044165	31.8856133133628	23.571601901282
3R5.1	WBGene00007065	67.001386687689	38.7998988268885
4R79.1	WBGene00003525	55.7275755240084	92.3133676348143
4R79.2	WBGene00007067	13.5246051706536	18.6370594091413
6R55.2	WBGene00007069	3.01008280947788	2.64696181562733
AC3.1	WBGene00005532	1.49567686408804	1.13323894828185
AC3.10	WBGene00004964	1.49441931018315	1.05883871150831
AC3.2	WBGene00007070	225.42175956528	248.38096050984
AC3.3	WBGene00000024	44.3111653276244	34.0045055885815
AC3.4	WBGene00004098	13.8808905418279	8.02520701793458
AC3.5	WBGene00007071	2495.35937022296	2848.82287883781
AC3.6	WBGene00000724	1.51114579139189	2.5204934431254
AC3.7	WBGene00007072	12.0020321840483	55.2024673826891
AC3.8	WBGene00007073	71.664212305389	113.508372095531
AC7.1	WBGene00006428	4.98085747457746	6.17775028054887
AC7.2	WBGene00004929	1325.17161673021	2045.35434376426
AC7.3	WBGene00014997	0.183969772723812	0.342664010824802
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.183970444138196	0.458976948002277
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	0.498497974332164	1.07687711427444
AH10.2	WBGene00007083	0.50482614287526	0.360690265656404
AH10.3	WBGene00007084	19.9806318642897	26.0962269554091
AH10.4	WBGene00007085	0.183968412376509	0.515879916391084
AH6.1	WBGene00001528	0.183968957522708	1.05094807789745
AH6.10	WBGene00005032	1.5042138120474	2.31453692747219
AH6.11	WBGene00005033	0.504647042052961	0.499210737086256
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.183969899736715	0.362141844301834
AH6.2	WBGene00007080	0.498208838794544	0.459814013693935
AH6.3	WBGene00007081	0.183969168805813	0.263454156327543
AH6.4	WBGene00005027	0.183968367186703	0.758059188320796
AH6.5	WBGene00003231	39.9246341060877	47.167809640191
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	0.183967538270712	0.808009542770838
AH6.8	WBGene00005030	3.97423141073532	0.774210393498386
AH9.1	WBGene00014998	8.9914976035191	15.0577425229661
AH9.2	WBGene00000797	20.0592441361126	20.2862710082609
AH9.3	WBGene00014999	82.030100162075	93.1993745438506
AH9.4	WBGene00015000	14.0025881434079	9.66702269768827
AH9.6	WBGene00044701	66.8873449315223	66.28912246992
AH9.7	WBGene00175029	9.49674492457291	6.6506901798116
B0001.1	WBGene00003010	760.608418171004	485.667364267721
B0001.2	WBGene00007087	126.910652053393	178.443680899949
B0001.3	WBGene00007088	380.235222857486	339.291077072853
B0001.4	WBGene00007089	397.059699385259	397.559535191694
B0001.5	WBGene00007090	274.431135366622	279.245075403242
B0001.6	WBGene00007091	1484.78982819289	1747.88353164967
B0001.7	WBGene00007092	80.9744991200651	109.920890061331
B0001.8	WBGene00007093	156.875117360258	169.924558718719
B0019.1	WBGene00000138	435.849362119341	540.717853789957
B0019.2	WBGene00007094	148.049470767983	218.392729644304
B0024.1	WBGene00000722	6395.45773643173	5081.75644349163
B0024.10	WBGene00007100	278.176596819023	291.934934774585
B0024.11	WBGene00007101	297.998903317443	371.819510194313
B0024.12	WBGene00001646	134.361711295621	139.590583214202
B0024.13	WBGene00007102	186.121373621779	176.156911099793
B0024.14	WBGene00007103	474.023805316383	547.661724798927
B0024.15	WBGene00007104	17.5527002385578	18.0905066026016
B0024.2	WBGene00000723	117.730799706217	206.088494580048
B0024.3	WBGene00007096	21.0159675675341	14.5499472586252
B0024.4	WBGene00007097	73.5768517414493	59.6978651541301
B0024.6	WBGene00001533	5.51625871595773	5.93318928250882
B0024.8	WBGene00000491	90.9933933138856	113.77177415934
B0024.9	WBGene00007099	357.012309733565	343.169435222332
B0025.1	WBGene00006932	523.195110480544	640.607609852524
B0025.2	WBGene00000814	499.480481657434	553.090098282058
B0025.4	WBGene00015001	72.0839731722936	80.0048688875944
B0025.5	WBGene00194700	1.4863550351541	1.86474869743321
B0034.1	WBGene00015002	90.4521849517926	80.8092505312927
B0034.2	WBGene00015003	NA	NA
B0034.3	WBGene00000403	3038.67614151635	3825.84250318404
B0034.4	WBGene00015004	3.00798920398749	4.26670105440118
B0034.5	WBGene00015005	5.00063808210847	6.07281955583525
B0034.7	WBGene00044394	29.5430271254234	32.4154602999924
B0035.1	WBGene00007105	894.686875494457	870.50404833733
B0035.10	WBGene00001919	1.50280813402059	6.8048863197947
B0035.11	WBGene00007110	352.021003320362	381.740778187847
B0035.12	WBGene00007111	563.901083621227	828.971851238465
B0035.13	WBGene00007112	545.163242971635	351.140623881263
B0035.14	WBGene00001019	618.687715620782	737.69869940497
B0035.15	WBGene00007113	223.662500421334	265.635153006793
B0035.16	WBGene00007114	28.0342530816515	30.0645999632588
B0035.18	WBGene00044290	24.0045355446186	22.9966083852711
B0035.2	WBGene00001020	272.90324375957	264.792103935207
B0035.3	WBGene00007106	150.813323031074	161.928774118262
B0035.4	WBGene00007107	512.619451911642	425.83776919366
B0035.5	WBGene00007108	582.27505648641	860.375576282665
B0035.6	WBGene00007109	175.284652352272	273.810559581132
B0035.7	WBGene00001921	1.49780653166014	3.64033016354393
B0035.8	WBGene00001922	2.5022940206449	7.36308599100994
B0035.9	WBGene00001920	NA	NA
B0041.1	WBGene00015006	0.183969912659632	0.364184640410727
B0041.2	WBGene00015007	1869.12747943921	2492.51539818157
B0041.3	WBGene00015008	72.0277653031112	57.9480052769478
B0041.4	WBGene00004415	58928.6179824181	71918.0102895329
B0041.5	WBGene00015009	288.764833557522	300.887195115728
B0041.6	WBGene00015010	68.4038445347532	64.6929951582667
B0041.7	WBGene00006961	1034.19702384611	1408.0389450292
B0041.8	WBGene00015011	73.974166648593	79.9606089460602
