baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	41.0760095815655	0.329909120156311	0.368254503947183	0.89587260066106	0.370320809252853	0.864261046848459	-0.548932148646359
2RSSE.1	388.962804300259	-0.0748353365107788	0.241646195251867	-0.309689695022005	0.756796939963448	0.962683136530348	-0.144187691979227
2RSSE.2	24.3659983724738	-0.654878853945702	0.481689172044744	-1.35954655398579	0.173973460944473	0.720923173182075	0.435855825455728
3R5.1	43.7489463292353	-1.00716109246521	0.307746269016945	-3.27269960309333	0.00106525627144402	0.0415536085184308	0.788138063975458
4R79.1	78.5189987341708	0.509125157956596	0.806813032345621	0.631032392320726	0.528019344818746	0.920034229209196	-0.728148186446655
4R79.2	16.1817555108574	0.243564740798051	0.461825381236637	0.527395744568768	0.597918798022547	0.936512720307053	-0.462587769288318
6R55.2	2.59935710567341	-0.404488822522226	1.04032266474317	-0.388810929753301	0.697416015003286	0.958706931845831	0.185465794032449
AC3.1	1.16104747262037	-0.619369456354545	1.43797942267868	-0.430722058039454	0.666670478109973	NA	0.400346427864621
AC3.10	1.01636519680273	-0.716125184260419	1.78439003226228	-0.401327720572674	0.688178857018244	NA	0.497102155768929
AC3.2	228.553702320076	-0.0790952226389038	0.229045120943645	-0.345325944132923	0.729849344346243	0.960492366493705	-0.139927805851112
AC3.3	34.5954606205851	-0.600967381103999	0.534840560781062	-1.12363837968154	0.261166467336721	0.802463081804038	0.381944352613947
AC3.4	9.03824294473238	-1.00951264332356	0.74552856938185	-1.35408981598195	0.175707724870366	0.722651114280227	0.790489614833603
AC3.5	2600.01774856849	-0.0279047022302648	0.2789118036376	-0.100048480796899	0.920305836387591	0.990382663905504	-0.191118326259758
AC3.6	2.11443465497848	0.519040318138796	1.23149845743121	0.421470538600157	0.67341152004397	0.953318463545478	-0.738063346629261
AC3.7	42.1770888705425	1.98243102040665	0.523195621493068	3.7890818251676	0.000151205107950121	0.0102254220666082	-2.20145404889669
AC3.8	96.9784304668429	0.444450932140196	0.509947948191712	0.871561369579445	0.383447712745285	0.868954832680797	-0.663473960630194
AC7.1	5.62019703454096	0.0916643970601848	0.818313911410975	0.112016178366237	0.910810578823	0.989509098170292	-0.310687425549943
AC7.2	1757.22968729388	0.407148565047967	0.160533206950165	2.53622644674606	0.0112054249914483	0.196193324425523	-0.626171593537988
AC7.3	0.126850705544498	0.67830290575731	4.00468284871173	0.169377434214426	0.865499771937895	NA	-0.897325934247328
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0.2860282108332	1.09992465996574	3.99992773755038	0.274986132784327	0.783326892201898	NA	-1.31894768845576
AC8.7	0	NA	NA	NA	NA	NA	NA
AH10.1	0.897174756841597	0.892171053167345	2.17642756057047	0.409924533823445	0.68186130762043	NA	-1.11119408165688
AH10.2	0.326343813655935	-0.704049163945224	3.1169121596538	-0.225880335371217	0.821294492686289	NA	0.485026135455301
AH10.3	22.7345413694354	0.166215998245622	0.47052076676632	0.353259643326586	0.723893797522339	0.960492366493705	-0.385239026735794
AH10.4	0.323180985271534	1.26855417897621	3.09737183982028	0.409558246338875	0.6821300311665	NA	-1.48757720746675
AH6.1	0.727127273715031	2.29513411114824	2.90482149953024	0.790111926505436	0.429462405291983	NA	-2.51415713963826
AH6.10	1.93189476309625	0.402690902686915	1.29209304489895	0.31165782083318	0.755300586484093	0.962295104111084	-0.621713931177672
AH6.11	0.426893293449803	-0.234648761636508	3.01285980734945	-0.077882402979427	0.937921597276209	NA	0.0156257331459744
AH6.12	0	NA	NA	NA	NA	NA	NA
AH6.14	0.206813878667331	0.758062117812888	4.00401123800847	0.189325671870476	0.849837575917837	NA	-0.977085146302906
AH6.2	0.447955914638032	-0.334723209793757	2.51793007689846	-0.132935863813209	0.894244103383	NA	0.115700181304004
AH6.3	0.142341423231002	0.299064904930311	4.00692494448142	0.0746370119415891	0.940503524967686	NA	-0.518087933420328
