wbid	bc4289	N2	bc4289vsN2.log2.deseq	bc4289vsN2.log2	bc4289vsN2.log2.pval
2L52.1	WBGene00007063	32.4656130137588	47.4972701675228	0.329909120156311	-0.548932148646359	0.864261046848459
2RSSE.1	WBGene00007064	382.102362610266	422.264472502642	-0.0748353365107788	-0.144187691979227	0.962683136530348
2RSSE.2	WBGene00044165	31.8856133133628	23.571601901282	-0.654878853945702	0.435855825455728	0.720923173182075
3R5.1	WBGene00007065	67.001386687689	38.7998988268885	-1.00716109246521	0.788138063975458	0.0415536085184308
4R79.1	WBGene00003525	55.7275755240084	92.3133676348143	0.509125157956596	-0.728148186446655	0.920034229209196
4R79.2	WBGene00007067	13.5246051706536	18.6370594091413	0.243564740798051	-0.462587769288318	0.936512720307053
6R55.2	WBGene00007069	3.01008280947788	2.64696181562733	-0.404488822522226	0.185465794032449	0.958706931845831
AC3.1	WBGene00005532	1.49567686408804	1.13323894828185	-0.619369456354545	0.400346427864621	NA
AC3.10	WBGene00004964	1.49441931018315	1.05883871150831	-0.716125184260419	0.497102155768929	NA
AC3.2	WBGene00007070	225.42175956528	248.38096050984	-0.0790952226389038	-0.139927805851112	0.960492366493705
AC3.3	WBGene00000024	44.3111653276244	34.0045055885815	-0.600967381103999	0.381944352613947	0.802463081804038
AC3.4	WBGene00004098	13.8808905418279	8.02520701793458	-1.00951264332356	0.790489614833603	0.722651114280227
AC3.5	WBGene00007071	2495.35937022296	2848.82287883781	-0.0279047022302648	-0.191118326259758	0.990382663905504
AC3.6	WBGene00000724	1.51114579139189	2.5204934431254	0.519040318138796	-0.738063346629261	0.953318463545478
AC3.7	WBGene00007072	12.0020321840483	55.2024673826891	1.98243102040665	-2.20145404889669	0.0102254220666082
AC3.8	WBGene00007073	71.664212305389	113.508372095531	0.444450932140196	-0.663473960630194	0.868954832680797
AC7.1	WBGene00006428	4.98085747457746	6.17775028054887	0.0916643970601848	-0.310687425549943	0.989509098170292
AC7.2	WBGene00004929	1325.17161673021	2045.35434376426	0.407148565047967	-0.626171593537988	0.196193324425523
AC7.3	WBGene00014997	0.183969772723812	0.342664010824802	0.67830290575731	-0.897325934247328	NA
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.183970444138196	0.458976948002277	1.09992465996574	-1.31894768845576	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	0.498497974332164	1.07687711427444	0.892171053167345	-1.11119408165688	NA
AH10.2	WBGene00007083	0.50482614287526	0.360690265656404	-0.704049163945224	0.485026135455301	NA
AH10.3	WBGene00007084	19.9806318642897	26.0962269554091	0.166215998245622	-0.385239026735794	0.960492366493705
AH10.4	WBGene00007085	0.183968412376509	0.515879916391084	1.26855417897621	-1.48757720746675	NA
AH6.1	WBGene00001528	0.183968957522708	1.05094807789745	2.29513411114824	-2.51415713963826	NA
AH6.10	WBGene00005032	1.5042138120474	2.31453692747219	0.402690902686915	-0.621713931177672	0.962295104111084
AH6.11	WBGene00005033	0.504647042052961	0.499210737086256	-0.234648761636508	0.0156257331459744	NA
AH6.12	WBGene00005034	NA	NA	NA	NA	NA
AH6.14	WBGene00005035	0.183969899736715	0.362141844301834	0.758062117812888	-0.977085146302906	NA
AH6.2	WBGene00007080	0.498208838794544	0.459814013693935	-0.334723209793757	0.115700181304004	NA
AH6.3	WBGene00007081	0.183969168805813	0.263454156327543	0.299064904930311	-0.518087933420328	NA
AH6.4	WBGene00005027	0.183968367186703	0.758059188320796	1.8238297476546	-2.04285277614494	NA
AH6.5	WBGene00003231	39.9246341060877	47.167809640191	0.0215003926877412	-0.240523421177802	0.998113604215369
AH6.6	WBGene00005028	NA	NA	NA	NA	NA
AH6.7	WBGene00005029	0.183967538270712	0.808009542770838	1.91589808308762	-2.13492111157825	NA
AH6.8	WBGene00005030	3.97423141073532	0.774210393498386	-2.57890132793823	2.35987829944652	NA
AH9.1	WBGene00014998	8.9914976035191	15.0577425229661	0.524849134057033	-0.743872162547246	0.868954832680797
AH9.2	WBGene00000797	20.0592441361126	20.2862710082609	-0.202786577005798	-0.0162364514842414	0.960492366493705
AH9.3	WBGene00014999	82.030100162075	93.1993745438506	-0.0348561454809053	-0.184166883009037	0.988080356647416
AH9.4	WBGene00015000	14.0025881434079	9.66702269768827	-0.753573004125927	0.534549975635597	0.721494846527018
AH9.6	WBGene00044701	66.8873449315223	66.28912246992	-0.231984152934917	0.0129611244449036	0.924019732210818
AH9.7	WBGene00175029	9.49674492457291	6.6506901798116	-0.732952067868731	0.513929039378897	0.771210611320461
B0001.1	WBGene00003010	760.608418171004	485.667364267721	-0.866208391011765	0.64718536252175	0.0482390320674405
B0001.2	WBGene00007087	126.910652053393	178.443680899949	0.272632619976264	-0.491655648466299	0.888370790312738
B0001.3	WBGene00007088	380.235222857486	339.291077072853	-0.383391720351406	0.164368691861358	0.163593438149749
B0001.4	WBGene00007089	397.059699385259	397.559535191694	-0.217208044147921	-0.00181498434201609	0.55543957491725
B0001.5	WBGene00007090	274.431135366622	279.245075403242	-0.193935360668791	-0.0250876678211622	0.805867524284861
B0001.6	WBGene00007091	1484.78982819289	1747.88353164967	0.0163272949272355	-0.235350323417245	0.996222221054234
