wbid	bc4289	N2
2L52.1	WBGene00007063	42.4665617977415	43.8305625853987
2RSSE.1	WBGene00007064	281.377794032211	322.642468412454
2RSSE.2	WBGene00044165	13.989888734626	16.4401646690368
3R5.1	WBGene00007065	220.922668679292	88.438331409221
4R79.1	WBGene00003525	3.69452408865617	2.52680058397494
4R79.2	WBGene00007067	6.52541695246395	35.2507261984003
6R55.2	WBGene00007069	1.34383202993727	1.95092935622819
AC3.1	WBGene00005532	0.992459833146564	3.32212320595123
AC3.10	WBGene00004964	12.7159234256505	154.386225082783
AC3.2	WBGene00007070	299.915254543184	348.434248363601
AC3.3	WBGene00000024	53.8770474329762	31.4583098064121
AC3.4	WBGene00004098	36.277414415706	26.267821093387
AC3.5	WBGene00007071	1402.94662252275	1645.17777964038
AC3.6	WBGene00000724	1.32937916201148	2.91829826479943
AC3.7	WBGene00007072	13.815054897654	40.8032598557113
AC3.8	WBGene00007073	34.8528603255182	63.846865773271
AC7.1	WBGene00006428	13.7053578740716	8.61525425891427
AC7.2	WBGene00004929	697.467315459018	596.066027877639
AC7.3	WBGene00014997	12.2782851972303	118.482034441355
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	NA	NA
AC8.7	WBGene00007079	0.184275462054429	0.330373461143728
AH10.1	WBGene00007082	155.76057725452	1639.6964709049
AH10.2	WBGene00007083	0.989245931542392	0.25154955472224
AH10.3	WBGene00007084	11.6300228869738	17.5598352391425
AH10.4	WBGene00007085	0.184274120193383	0.432605856385915
AH6.1	WBGene00001528	1.00180167072687	0.79747711963666
AH6.10	WBGene00005032	0.184275686741404	0.3781966898175
AH6.11	WBGene00005033	NA	NA
AH6.12	WBGene00005034	0.184275009014781	0.251548607415622
AH6.14	WBGene00005035	0.184275009014781	0.251548607415622
AH6.2	WBGene00007080	50.1570197908197	318.38459221616
AH6.3	WBGene00007081	64.9268218720458	614.277430644298
AH6.4	WBGene00005027	0.184275609349723	0.36098956098744
AH6.5	WBGene00003231	5224.94238153928	2973.80334976804
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	1.66360513354658	0.326180770065291
AH6.8	WBGene00005030	0.184274356227043	0.402755716880573
AH9.1	WBGene00014998	7.55472306770507	10.0859451228498
AH9.2	WBGene00000797	199.166184749275	110.277557967955
AH9.3	WBGene00014999	108.038131504339	85.7229685253195
AH9.4	WBGene00015000	2.58051628546232	3.71109999279321
AH9.6	WBGene00044701	5.99171236225298	19.0169674027595
AH9.7	WBGene00175029	1.67213406016997	5.02487874526821
B0001.1	WBGene00003010	1386.63210087984	589.248340979885
B0001.2	WBGene00007087	1312.94845566955	859.841352239292
B0001.3	WBGene00007088	938.178326076689	538.267063448334
B0001.4	WBGene00007089	1377.55853571536	886.42267311382
B0001.5	WBGene00007090	695.567117594977	493.108138478861
B0001.6	WBGene00007091	1554.35103119663	1278.39809072209
B0001.7	WBGene00007092	944.037480391872	568.90572356967
B0001.8	WBGene00007093	635.492189948929	333.291101799214
B0019.1	WBGene00000138	363.669101318966	459.796199021781
B0019.2	WBGene00007094	837.267238183288	513.48386611824
B0024.1	WBGene00000722	2270.23711710403	1698.7255862579
B0024.10	WBGene00007100	1163.18583883669	921.069530265724
B0024.11	WBGene00007101	721.100593490521	458.660164710627
B0024.12	WBGene00001646	66.1272626346867	61.5166008896774
B0024.13	WBGene00007102	798.784053102075	598.5135612324
B0024.14	WBGene00007103	258.650253060636	338.955832712402
B0024.15	WBGene00007104	3.67793272503861	7.67548769967395
B0024.2	WBGene00000723	355.866028480957	437.135547169259
B0024.3	WBGene00007096	3.00471896582453	9.64977839742063
B0024.4	WBGene00007097	237.080402832386	183.52193916934
B0024.6	WBGene00001533	1.34832900096293	2.06739789524514
B0024.8	WBGene00000491	29.9804010572829	47.6757187069629
B0024.9	WBGene00007099	339.022715763263	326.102994613438
B0025.1	WBGene00006932	554.129894781883	520.18786936922
B0025.2	WBGene00000814	996.490769415722	837.541623758873
B0025.4	WBGene00015001	222.176246230346	157.910312991927
B0025.5	WBGene00194700	180.654681894776	1028.77769243567
B0034.1	WBGene00015002	62.5640802720929	62.8687308365922
B0034.2	WBGene00015003	0.358914391840653	0.251549174600036
B0034.3	WBGene00000403	880.121594290395	1673.86799510828
B0034.4	WBGene00015004	5.86099413462793	55.6145063058457
B0034.5	WBGene00015005	1.6700341402356	6.49682172797941
B0034.7	WBGene00044394	12.9791015189864	14.0502392679585
B0035.1	WBGene00007105	1841.697446836	1321.57606321755
B0035.10	WBGene00001919	6.00426662869006	2.83215753367327
B0035.11	WBGene00007110	814.688411604833	688.575566236178
B0035.12	WBGene00007111	1994.33816405378	1285.81510483131
B0035.13	WBGene00007112	495.056704165349	454.405711790047
B0035.14	WBGene00001019	1046.55111143635	936.20717913751
B0035.15	WBGene00007113	380.389493720999	327.816472954959
B0035.16	WBGene00007114	69.1858186432073	53.4293330092096
