wbid	bc4289	N2	bc4289vsN2.log2.deseq	bc4289vsN2.log2	bc4289vsN2.log2.pval
2L52.1	WBGene00007063	42.4665617977415	43.8305625853987	0.0571170057002707	-0.04560988752895	0.894102845202779
2RSSE.1	WBGene00007064	281.377794032211	322.642468412454	0.208934989110953	-0.197427870939525	0.473475809286521
2RSSE.2	WBGene00044165	13.989888734626	16.4401646690368	0.244347379274224	-0.232840261103096	0.737759495261161
3R5.1	WBGene00007065	220.922668679292	88.438331409221	-1.30929063098518	1.32079774915642	1.05731652761602e-05
4R79.1	WBGene00003525	3.69452408865617	2.52680058397494	-0.536569606173465	0.548076724344893	NA
4R79.2	WBGene00007067	6.52541695246395	35.2507261984003	2.445018103715	-2.43351098554358	0.072552561129484
6R55.2	WBGene00007069	1.34383202993727	1.95092935622819	0.549315834514764	-0.537808716342696	NA
AC3.1	WBGene00005532	0.992459833146564	3.32212320595123	1.75453207721772	-1.74302495904633	NA
AC3.10	WBGene00004964	12.7159234256505	154.386225082783	3.61334301494024	-3.60183589676881	0.0279306107698584
AC3.2	WBGene00007070	299.915254543184	348.434248363601	0.227838651078236	-0.216331532906797	0.624759927684103
AC3.3	WBGene00000024	53.8770474329762	31.4583098064121	-0.764722512652877	0.776229630824303	0.739019808748069
AC3.4	WBGene00004098	36.277414415706	26.267821093387	-0.454267982403019	0.465775100574444	0.807354976792586
AC3.5	WBGene00007071	1402.94662252275	1645.17777964038	0.241290489469722	-0.229783371298288	0.503684799167822
AC3.6	WBGene00000724	1.32937916201148	2.91829826479943	1.14588181469791	-1.1343746965269	NA
AC3.7	WBGene00007072	13.815054897654	40.8032598557113	1.5739502397444	-1.56244312157308	0.0138452087217037
AC3.8	WBGene00007073	34.8528603255182	63.846865773271	0.884845857380324	-0.873338739208877	0.21562779877775
AC7.1	WBGene00006428	13.7053578740716	8.61525425891427	-0.658267602178598	0.669774720350546	NA
AC7.2	WBGene00004929	697.467315459018	596.066027877639	-0.215146342288349	0.226653460459817	0.296561884443349
AC7.3	WBGene00014997	12.2782851972303	118.482034441355	3.28199444542505	-3.27048732725363	0.0614896184908388
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	NA	NA	NA	NA	NA
AC8.7	WBGene00007079	0.184275462054429	0.330373461143728	0.853740942226181	-0.842233824054753	NA
AH10.1	WBGene00007082	155.76057725452	1639.6964709049	3.40753385518097	-3.39602673700955	0.0253959278092308
AH10.2	WBGene00007083	0.989245931542392	0.25154955472224	-1.96397947283302	1.97548659100445	NA
AH10.3	WBGene00007084	11.6300228869738	17.5598352391425	0.605932490628831	-0.594425372457244	0.441139066533175
AH10.4	WBGene00007085	0.184274120193383	0.432605856385915	1.2427068436649	-1.23119972549347	NA
AH6.1	WBGene00001528	1.00180167072687	0.79747711963666	-0.31757477223832	0.329081890409135	NA
AH6.10	WBGene00005032	0.184275686741404	0.3781966898175	1.04877811933282	-1.03727100116139	NA
AH6.11	WBGene00005033	NA	NA	NA	NA	NA
AH6.12	WBGene00005034	0.184275009014781	0.251548607415622	0.460483891994222	-0.448976773822795	NA
AH6.14	WBGene00005035	0.184275009014781	0.251548607415622	0.460483891994222	-0.448976773822795	NA
AH6.2	WBGene00007080	50.1570197908197	318.38459221616	2.67775410416438	-2.66624698599295	0.0459535527668512
AH6.3	WBGene00007081	64.9268218720458	614.277430644298	3.25351099877341	-3.24200388060199	0.0259245308533866
AH6.4	WBGene00005027	0.184275609349723	0.36098956098744	0.981599107333473	-0.970091989162045	NA
AH6.5	WBGene00003231	5224.94238153928	2973.80334976804	-0.801598760973923	0.813105879145351	0.518260640568095
AH6.6	WBGene00005028	NA	NA	NA	NA	NA
AH6.7	WBGene00005029	1.66360513354658	0.326180770065291	-2.33906228797958	2.35056940615083	NA
AH6.8	WBGene00005030	0.184274356227043	0.402755716880573	1.13955686716365	-1.1280497489922	NA
AH9.1	WBGene00014998	7.55472306770507	10.0859451228498	0.42840262213848	-0.416895503966896	NA
AH9.2	WBGene00000797	199.166184749275	110.277557967955	-0.841326378175949	0.852833496347375	0.378177768680693
AH9.3	WBGene00014999	108.038131504339	85.7229685253195	-0.322279760417874	0.333786878589221	0.450770387382039
AH9.4	WBGene00015000	2.58051628546232	3.71109999279321	0.53569425666073	-0.524187138489308	NA
AH9.6	WBGene00044701	5.99171236225298	19.0169674027595	1.67775404640932	-1.66624692823786	0.119297797641298
AH9.7	WBGene00175029	1.67213406016997	5.02487874526821	1.59890538399785	-1.58739826582641	NA
B0001.1	WBGene00003010	1386.63210087984	589.248340979885	-1.22313024989849	1.23463736806992	0.0672854988059461
B0001.2	WBGene00007087	1312.94845566955	859.841352239292	-0.599160760741011	0.610667878912431	0.119101457946964
B0001.3	WBGene00007088	938.178326076689	538.267063448334	-0.790032904135159	0.801540022306571	0.0547022681448115
B0001.4	WBGene00007089	1377.55853571536	886.42267311382	-0.624539816904516	0.636046935075924	0.0340775734527569
B0001.5	WBGene00007090	695.567117594977	493.108138478861	-0.484778549852926	0.496285668024331	0.0624248638569702
B0001.6	WBGene00007091	1554.35103119663	1278.39809072209	-0.270468078699339	0.281975196870783	0.382672378293651
B0001.7	WBGene00007092	944.037480391872	568.90572356967	-0.719147425184497	0.730654543355922	0.314000058528717
B0001.8	WBGene00007093	635.492189948929	333.291101799214	-0.919584475869611	0.931091594041019	0.0370867510953631
B0019.1	WBGene00000138	363.669101318966	459.796199021781	0.349875303751691	-0.338368185580249	0.442860864148095
B0019.2	WBGene00007094	837.267238183288	513.48386611824	-0.693862109014153	0.705369227185577	0.371568695064537
B0024.1	WBGene00000722	2270.23711710403	1698.7255862579	-0.406883053869646	0.418390172041073	0.78901032686321
B0024.10	WBGene00007100	1163.18583883669	921.069530265724	-0.325192519673234	0.336699637844633	0.18154402032382
B0024.11	WBGene00007101	721.100593490521	458.660164710627	-0.641267798468043	0.652774916639465	0.260064398319092
B0024.12	WBGene00001646	66.1272626346867	61.5166008896774	-0.0927622745422954	0.10426939271384	0.869481901055937
B0024.13	WBGene00007102	798.784053102075	598.5135612324	-0.404914476589129	0.416421594760551	0.299884147852475
B0024.14	WBGene00007103	258.650253060636	338.955832712402	0.401601811841827	-0.390094693670368	0.145593678307236
B0024.15	WBGene00007104	3.67793272503861	7.67548769967395	1.07287044934338	-1.06136333117176	NA
B0024.2	WBGene00000723	355.866028480957	437.135547169259	0.308253601206682	-0.296746483035251	0.760488201222115
