wbid	N2	sp117
2L52.1	WBGene00007063	366.598533893508	860.991573515074
2RSSE.1	WBGene00007064	1626.75554101231	3608.72638275673
2RSSE.2	WBGene00044165	132.449846561461	284.998078228494
3R5.1	WBGene00007065	42.7552023227163	104.389267904251
4R79.1	WBGene00003525	39.4629278650635	50.9281072839748
4R79.2	WBGene00007067	9.56822633751332	12.2947216779121
6R55.2	WBGene00007069	0.812673457002148	0.524978070374969
AC3.1	WBGene00005532	5.98673619470006	6.63509179326752
AC3.10	WBGene00004964	1.25927240998046	1.67337867875885
AC3.2	WBGene00007070	187.981878995176	352.482583842407
AC3.3	WBGene00000024	3.84220384210763	9.85067875788829
AC3.4	WBGene00004098	0.404518714455143	2.36286706978951
AC3.5	WBGene00007071	17.0904410710531	28.3059006741761
AC3.6	WBGene00000724	2.60991521368346	2.96248915886449
AC3.7	WBGene00007072	40.6733800593291	85.4728378475258
AC3.8	WBGene00007073	7.75664737829852	13.8047348774455
AC7.1	WBGene00006428	4.311221276368	4.06741875479235
AC7.2	WBGene00004929	722.880577983565	1403.39697751846
AC7.3	WBGene00014997	0.77840742084955	0.491334796824439
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.624730535161364	0.18567648870818
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	7.10169276808655	2.37739160349522
AH10.2	WBGene00007083	39.2892864609383	37.7113422128338
AH10.3	WBGene00007084	40.0524049992509	58.567295897345
AH10.4	WBGene00007085	0.272198515863674	0.185674401808112
AH6.1	WBGene00001528	0.274530743323327	1.33179475965971
AH6.10	WBGene00005032	1.13013504395459	0.544559417960177
AH6.11	WBGene00005033	0.274528947229789	0.185674423222549
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.274529833844663	0.485593110402581
AH6.2	WBGene00007080	0.354042399852989	1.01617014047501
AH6.3	WBGene00007081	0.950685578017679	2.14820823957628
AH6.4	WBGene00005027	1.2429657170969	0.513285245926993
AH6.5	WBGene00003231	3980.03352038558	6348.07599718175
AH6.6	WBGene00005028	0.218788862322673	0.559542780854785
AH6.7	WBGene00005029	0.274529833844663	0.485593110402581
AH6.8	WBGene00005030	NA	NA
AH9.1	WBGene00014998	13.3903342413423	20.3543959535888
AH9.2	WBGene00000797	193.560898991773	316.29258104727
AH9.3	WBGene00014999	652.433122281532	1436.2198976567
AH9.4	WBGene00015000	6.17813251045773	5.66228049034947
AH9.6	WBGene00044701	29.6611444650339	34.4157289861489
AH9.7	WBGene00175029	13.9994689701573	37.5907192194013
B0001.1	WBGene00003010	607.817260688733	1203.81959194915
