wbid	N2	sp117	N2vssp117.log2.deseq	N2vssp117.log2	N2vssp117.log2.pval
2L52.1	WBGene00007063	366.598533893508	860.991573515074	0.213055556863138	-1.23179810186006	0.999816266586626
2RSSE.1	WBGene00007064	1626.75554101231	3608.72638275673	0.130749747994192	-1.14949229299111	0.999816266586626
2RSSE.2	WBGene00044165	132.449846561461	284.998078228494	0.0867634736749495	-1.10550601867187	0.999816266586626
3R5.1	WBGene00007065	42.7552023227163	104.389267904251	0.269058974808739	-1.28780151980566	0.999816266586626
4R79.1	WBGene00003525	39.4629278650635	50.9281072839748	-0.650778441374327	-0.36796410362259	0.999816266586626
4R79.2	WBGene00007067	9.56822633751332	12.2947216779121	-0.657026890912763	-0.361715654084155	NA
6R55.2	WBGene00007069	0.812673457002148	0.524978070374969	-1.64916116056763	0.630418615570714	NA
AC3.1	WBGene00005532	5.98673619470006	6.63509179326752	-0.870395819619144	-0.148346725377773	NA
AC3.10	WBGene00004964	1.25927240998046	1.67337867875885	-0.608568992070575	-0.410173552926342	NA
AC3.2	WBGene00007070	187.981878995176	352.482583842407	-0.111784165502608	-0.90695837949431	0.999816266586626
AC3.3	WBGene00000024	3.84220384210763	9.85067875788829	0.339546530480389	-1.35828907547731	NA
AC3.4	WBGene00004098	0.404518714455143	2.36286706978951	1.52751756999219	-2.54626011498911	NA
AC3.5	WBGene00007071	17.0904410710531	28.3059006741761	-0.290829345697298	-0.72791319929962	NA
AC3.6	WBGene00000724	2.60991521368346	2.96248915886449	-0.835935610300925	-0.182806934695992	NA
AC3.7	WBGene00007072	40.6733800593291	85.4728378475258	0.0526385908385653	-1.07138113583548	0.999816266586626
AC3.8	WBGene00007073	7.75664737829852	13.8047348774455	-0.187084486530038	-0.831658058466879	NA
AC7.1	WBGene00006428	4.311221276368	4.06741875479235	-1.1027256278413	0.0839830828443848	NA
AC7.2	WBGene00004929	722.880577983565	1403.39697751846	-0.0616486190591381	-0.957093925937779	0.999816266586626
AC7.3	WBGene00014997	0.77840742084955	0.491334796824439	-1.68256159311299	0.663819048116077	NA
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.624730535161364	0.18567648870818	-2.76918544617843	1.75044290118151	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	7.10169276808655	2.37739160349522	-2.59752592983279	1.57878338483587	NA
AH10.2	WBGene00007083	39.2892864609383	37.7113422128338	-1.07788001257326	0.0591374675763429	0.999816266586626
AH10.3	WBGene00007084	40.0524049992509	58.567295897345	-0.470536133241442	-0.548206411755475	0.999816266586626
AH10.4	WBGene00007085	0.272198515863674	0.185674401808112	-1.57062681535291	0.551884270355993	NA
AH6.1	WBGene00001528	0.274530743323327	1.33179475965971	1.25958959998794	-2.27833214498486	NA
AH6.10	WBGene00005032	1.13013504395459	0.544559417960177	-2.07207634285966	1.05333379786274	NA
AH6.11	WBGene00005033	0.274528947229789	0.185674423222549	-1.58292572798859	0.564183182991668	NA
AH6.12	WBGene00005034	NA	NA	NA	NA	NA
AH6.14	WBGene00005035	0.274529833844663	0.485593110402581	-0.195957531256028	-0.82278501374089	NA
AH6.2	WBGene00007080	0.354042399852989	1.01617014047501	0.502405380334852	-1.52114792533177	NA
AH6.3	WBGene00007081	0.950685578017679	2.14820823957628	0.15735112485916	-1.17609366985608	NA
AH6.4	WBGene00005027	1.2429657170969	0.513285245926993	-2.29469635332814	1.27595380833123	NA
AH6.5	WBGene00003231	3980.03352038558	6348.07599718175	-0.345203726620973	-0.673538818375943	0.999816266586626
AH6.6	WBGene00005028	0.218788862322673	0.559542780854785	0.335966596188859	-1.35470914118578	NA
AH6.7	WBGene00005029	0.274529833844663	0.485593110402581	-0.195957531256028	-0.822785013740889	NA
AH6.8	WBGene00005030	NA	NA	NA	NA	NA
AH9.1	WBGene00014998	13.3903342413423	20.3543959535888	-0.414594109748817	-0.6041484352481	NA
AH9.2	WBGene00000797	193.560898991773	316.29258104727	-0.310270373498466	-0.708472171498452	0.999816266586626
AH9.3	WBGene00014999	652.433122281532	1436.2198976567	0.119632179349364	-1.13837472434628	0.999816266586626
AH9.4	WBGene00015000	6.17813251045773	5.66228049034947	-1.14453014237612	0.1257875973792	NA
AH9.6	WBGene00044701	29.6611444650339	34.4157289861489	-0.80424874063951	-0.214493804357408	0.999816266586626
AH9.7	WBGene00175029	13.9994689701573	37.5907192194013	0.406261869890131	-1.42500441488705	NA
B0001.1	WBGene00003010	607.817260688733	1203.81959194915	-0.0328328933066294	-0.985909651690287	0.999816266586626
B0001.2	WBGene00007087	246.139452620294	518.911158118697	0.0572690937750577	-1.07601163877198	0.999816266586626
B0001.3	WBGene00007088	460.548909920852	989.883943934126	0.0851624680267196	-1.10390501302364	0.999816266586626
B0001.4	WBGene00007089	508.962872641892	865.260298907184	-0.253168756323045	-0.765573788673872	0.999816266586626
