wbid	N2	sp117
2L52.1	WBGene00007063	47.4740971968629	22.7264412908351
2RSSE.1	WBGene00007064	422.205130904143	199.675815609142
2RSSE.2	WBGene00044165	23.5460745515025	14.2694206142182
3R5.1	WBGene00007065	38.9064125479611	13.4638328419904
4R79.1	WBGene00003525	92.3221486684935	40.2230162084392
4R79.2	WBGene00007067	18.6347284490385	8.05360837137782
6R55.2	WBGene00007069	2.65643350134369	0.646440478402046
AC3.1	WBGene00005532	1.13437036564996	1.72254483380548
AC3.10	WBGene00004964	1.01707539242727	0.68496053178483
AC3.2	WBGene00007070	248.503858576873	124.906366368043
AC3.3	WBGene00000024	34.0034877749139	15.1260792919061
AC3.4	WBGene00004098	8.03824986459313	4.07495828478683
AC3.5	WBGene00007071	2849.75234617821	1026.69287998141
AC3.6	WBGene00000724	2.52098694069988	0.710531953970192
AC3.7	WBGene00007072	55.1973837304653	22.6499341422193
AC3.8	WBGene00007073	113.514976384702	43.5147421508807
AC7.1	WBGene00006428	6.21182093123086	2.22973138131724
AC7.2	WBGene00004929	2046.05926510112	741.520626071091
AC7.3	WBGene00014997	0.344057191112441	0.915819355530936
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.459572545659572	0.202489534744154
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	1.08524342897631	0.389553201697823
AH10.2	WBGene00007083	0.361796860257921	0.388041185344046
AH10.3	WBGene00007084	26.019805400172	9.50655862060259
AH10.4	WBGene00007085	0.518980692494719	0.388776983411011
AH6.1	WBGene00001528	1.04901827141929	0.202490461266772
AH6.10	WBGene00005032	2.30551504988191	1.23840858316981
AH6.11	WBGene00005033	0.491776569728237	0.202489648920028
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.362469115362743	0.202489134605383
AH6.2	WBGene00007080	0.460095693643299	0.402862850611428
AH6.3	WBGene00007081	0.263507782732927	0.202488597076635
AH6.4	WBGene00005027	0.753644737260561	0.202490095789786
AH6.5	WBGene00003231	47.1964498288035	22.4999082014951
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	0.802762728822052	0.202489987208873
AH6.8	WBGene00005030	0.726057666158587	0.38901111034612
AH9.1	WBGene00014998	15.063207596597	8.42453331264598
AH9.2	WBGene00000797	20.2573038903175	14.8112335267977
AH9.3	WBGene00014999	93.2234383876794	33.5575928641509
AH9.4	WBGene00015000	9.61392080354379	6.01957284924332
AH9.6	WBGene00044701	66.3076546008834	23.8777621251989
AH9.7	WBGene00175029	6.6711199624671	1.5733205301701
B0001.1	WBGene00003010	485.891170917832	305.581284096131
B0001.2	WBGene00007087	178.518494032904	81.9913190947268
B0001.3	WBGene00007088	339.303028286681	139.233703780669
B0001.4	WBGene00007089	397.732102693647	161.323011177256
B0001.5	WBGene00007090	279.277346777567	138.068186518487
B0001.6	WBGene00007091	1748.25621570338	681.397174845496
B0001.7	WBGene00007092	109.950224706606	39.0739679921281
B0001.8	WBGene00007093	170.044135182258	64.7660476847619
B0019.1	WBGene00000138	540.709706614221	219.677359023383
B0019.2	WBGene00007094	218.611402756265	86.4198140612941
B0024.1	WBGene00000722	5076.26712775133	2397.26344523074
B0024.10	WBGene00007100	291.930523421827	125.714004778173
B0024.11	WBGene00007101	371.843890966819	116.721636845932
B0024.12	WBGene00001646	139.597154851141	66.9303161808775
B0024.13	WBGene00007102	176.181759892103	97.4824303602373
B0024.14	WBGene00007103	547.686305485831	232.432053039687
B0024.15	WBGene00007104	18.1072474837221	11.2126587954296
B0024.2	WBGene00000723	205.885637725192	79.9476837393092
B0024.3	WBGene00007096	14.4666986989585	6.27342559794244
B0024.4	WBGene00007097	59.6102183653849	24.9389286374328
B0024.6	WBGene00001533	5.93478171210055	2.94336697486244
B0024.8	WBGene00000491	113.814123703725	46.3744075014202
B0024.9	WBGene00007099	343.36527931833	157.338453550113
B0025.1	WBGene00006932	640.923005198622	278.184818230924
B0025.2	WBGene00000814	553.433296535912	230.372701938955
B0025.4	WBGene00015001	80.0417898732321	31.6640103697699
B0025.5	WBGene00194700	1.86530919653138	1.57096751754294
B0034.1	WBGene00015002	80.9028420112724	34.8095530561292
B0034.2	WBGene00015003	NA	NA
B0034.3	WBGene00000403	3828.0949980738	1813.63549144527
B0034.4	WBGene00015004	4.28352426492406	0.958862988827233
B0034.5	WBGene00015005	6.0758408974095	3.52014358624831
B0034.7	WBGene00044394	32.4194678598237	14.9976560829559
B0035.1	WBGene00007105	870.499845211022	348.423169859936
B0035.10	WBGene00001919	6.82735276086297	1.59145612807056
B0035.11	WBGene00007110	381.768692744085	170.267235829873
B0035.12	WBGene00007111	828.979918902359	297.264679699217
B0035.13	WBGene00007112	351.330849485459	218.328525875282
B0035.14	WBGene00001019	737.886574519517	348.500235134075
B0035.15	WBGene00007113	265.508945668688	99.8235198128622
B0035.16	WBGene00007114	30.0279913132397	14.283680102868
B0035.18	WBGene00044290	23.0474332803501	13.4604330692203
B0035.2	WBGene00001020	264.928585788212	131.187880509974
B0035.3	WBGene00007106	162.136642007716	68.1865336443428
B0035.4	WBGene00007107	425.758756668625	147.459408212668
B0035.5	WBGene00007108	860.709286928261	255.249967014151
B0035.6	WBGene00007109	273.901081662972	82.6410033650484
B0035.7	WBGene00001921	3.63663847656455	4.45774229548562
B0035.8	WBGene00001922	7.35883470524548	2.32959239158089
B0035.9	WBGene00001920	NA	NA
B0041.1	WBGene00015006	0.364199150788395	0.202489142632448
B0041.2	WBGene00015007	2493.59287366345	1201.11280641775
B0041.3	WBGene00015008	57.9696974053059	31.0320856557569
B0041.4	WBGene00004415	71915.2991175045	32885.8210638582
B0041.5	WBGene00015009	300.981887018805	149.049225944113
B0041.6	WBGene00015010	64.6843785955123	24.6169354589506
B0041.7	WBGene00006961	1408.26827434551	550.558391411783
B0041.8	WBGene00015011	80.0184926378164	35.1173109357126
B0047.1	WBGene00015012	2.78751386036526	0.390358417265555
B0047.2	WBGene00015013	7.60063547855039	2.45281691644654
B0047.3	WBGene00015014	13.5689689999733	8.55525271120732
B0047.4	WBGene00015015	NA	NA
B0198.1	WBGene00006646	48.2562476289969	32.0425722858671
B0198.2	WBGene00007115	58.7429624100567	22.2355116583725
B0198.3	WBGene00007116	205.767141124192	90.6603477851367
B0205.1	WBGene00015017	209.200311052467	72.8575070866895
B0205.10	WBGene00015024	2.12867741092431	1.99731868805396
B0205.11	WBGene00015025	753.023281102314	293.509432847422
B0205.12	WBGene00044413	118.171141278858	64.5145313010873
B0205.13	WBGene00044644	37.0506326135663	16.6523278976196
B0205.14	WBGene00044646	3.88831576675549	0.39058483994561
B0205.2	WBGene00015018	1.61694048082795	0.398066304711171
B0205.3	WBGene00004466	1249.90187648691	530.937783631565
B0205.4	WBGene00015019	64.2979203261479	34.3453260599099
B0205.5	WBGene00015020	0.34303847045624	0.405775868880806
B0205.6	WBGene00015021	627.487447456674	267.361597059849
B0205.7	WBGene00002191	4398.92333419819	1803.25245872807
B0205.8	WBGene00015022	181.905111817436	81.846222162081
B0205.9	WBGene00015023	146.703322898123	55.6227031804182
B0207.1	WBGene00015026	0.44259630048677	0.403014191903426
B0207.10	WBGene00015033	13.0108382317937	3.35843237059184
B0207.11	WBGene00015034	0.263507782732927	0.202488597076635
B0207.12	WBGene00000232	90.6092572604621	38.3602549765595
B0207.2	WBGene00015027	7.69114467263911	4.4696115986519
B0207.3	WBGene00001676	18.6516303363183	7.00264842658327
B0207.4	WBGene00000099	122.403758380528	56.1755258016725
B0207.5	WBGene00015028	8.5559196033742	2.41246673572989
B0207.6	WBGene00015029	98.2822443048897	40.527108814815
B0207.7	WBGene00015030	0.766525474478027	0.202489958919782
B0207.8	WBGene00015031	NA	NA
B0207.9	WBGene00015032	0.263507105806824	1.15146809033126
B0212.1	WBGene00015035	67.6304851035646	33.1462459810938
B0212.2	WBGene00015036	3.90952236904435	2.59742594743847
B0212.3	WBGene00015037	23.5595929667221	10.0970343947693
B0212.4	WBGene00015038	37.9274572257219	15.3420903558821
B0212.5	WBGene00003889	127.851484197636	30.4015707138604
B0212.6	WBGene00044111	17.6282046516147	4.05069089458601
B0213.10	WBGene00015040	14.891611342244	11.7171898433049
B0213.11	WBGene00015041	9.73521701899285	6.23884359208849
B0213.12	WBGene00015042	5.24717910761578	6.34756481884174
B0213.14	WBGene00015043	134.90175897144	66.9844578778696
B0213.15	WBGene00015044	209.635281188336	83.6682692693257
B0213.16	WBGene00015045	22.8284976063527	13.1190647033672
B0213.17	WBGene00015046	339.142198862703	225.565727693618
B0213.2	WBGene00003765	749.084128109956	433.197344779923
B0213.3	WBGene00003766	43.3350864576809	20.0772991834841
B0213.4	WBGene00003767	830.072117362214	344.785565372958
B0213.5	WBGene00003768	496.720183066072	157.333521501812
B0213.6	WBGene00003769	831.921614651978	370.007396715261
B0213.7	WBGene00006142	0.804231735230364	1.86634362661127
B0213.8	WBGene00006141	0.363667666571219	0.4064778778806
B0213.9	WBGene00006274	0.263508175039686	0.406650233749463
B0218.1	WBGene00015047	827.402750359208	364.943777137584
B0218.2	WBGene00015048	648.414544007079	399.475299395061
B0218.3	WBGene00004055	275.809158751207	144.174452091761
B0218.5	WBGene00015049	3.39193363828058	0.94651176266819
B0218.6	WBGene00015050	208.602062488984	86.4238913713502
B0218.7	WBGene00015051	0.421623944405952	0.405627828079655
B0218.8	WBGene00015052	220.371277313325	54.3950590804904
B0222.1	WBGene00015053	103.348142590193	45.6563615449888
B0222.10	WBGene00015058	0.482161731008205	0.403719701634585
B0222.11	WBGene00044582	38.0323653083578	17.5786758235539
B0222.2	WBGene00015054	0.90857872594877	0.962125142959308
B0222.3	WBGene00015055	51.6893656143447	23.172580603788
B0222.4	WBGene00006418	87.6468076264311	38.855893734102
B0222.5	WBGene00015056	252.073036099875	90.5881145149631
B0222.6	WBGene00000717	4640.27924762802	2100.81235447519
B0222.7	WBGene00000718	1969.41934342138	752.228713868903
B0222.8	WBGene00000599	11503.756102494	4416.07243828282
B0222.9	WBGene00015057	432.625501392137	249.690104040365
B0228.1	WBGene00015059	173.189873429321	69.1748330030943
B0228.4	WBGene00015061	8841.63412295458	3349.19668789517
B0228.5	WBGene00015062	3.18001007107997	4.39210012287045
B0228.6	WBGene00015063	20.158368983665	11.2557576854191
B0228.7	WBGene00015064	717.762140704432	283.792411264818
B0228.8	WBGene00015065	0.263507782732927	0.202488597076635
B0228.9	WBGene00015066	0.198021012298489	0.407015447077675
B0238.1	WBGene00015067	91.7947820552241	40.7172488507924
B0238.10	WBGene00015074	1260.30737845011	499.694689963266
B0238.11	WBGene00015075	828.164095010436	306.736588395669
B0238.12	WBGene00015076	70.4979740003871	77.2504737307989
B0238.13	WBGene00015077	1.64286247885199	1.09980785635582
B0238.15	WBGene00044537	0.26350839357044	0.387752854623813
B0238.3	WBGene00015068	0.198021012298489	0.407015447077675
B0238.5	WBGene00015069	0.361408108905979	0.387753669291757
B0238.6	WBGene00015070	1.23165121907257	1.11163266652993
B0238.7	WBGene00015071	NA	NA
B0238.8	WBGene00015072	0.9382722755989	0.685938914360559
B0238.9	WBGene00015073	83.7715484647674	34.7568628123316
B0240.1	WBGene00004359	41.4669597110056	22.4743867633689
B0240.2	WBGene00007117	2.35225938121387	0.397566614455703
B0240.3	WBGene00000907	27.2963922380254	8.11779881163386
B0240.4	WBGene00007118	572.631600064054	212.143634592428
B0244.10	WBGene00015085	14.9205889813022	5.76185843684451
B0244.11	WBGene00015086	0.263507782732927	0.202488597076635
B0244.2	WBGene00002048	4382.82633791872	1770.68602017023
B0244.4	WBGene00015079	0.669837429661161	5.23891503999433
B0244.5	WBGene00015080	6.76178363864	0.202490399239711
B0244.6	WBGene00015081	10.0479203204688	0.202490586623467
B0244.7	WBGene00015082	3.26819997064485	0.667669102490651
B0244.8	WBGene00015083	31.5613288767944	12.5271233760989
B0244.9	WBGene00015084	0.263507782732927	0.202488597076635
B0250.1	WBGene00004413	33714.1870847712	17389.0995135046
B0250.10	WBGene00007127	NA	NA
B0250.2	WBGene00007119	54.5960951136955	17.2792404845492
B0250.4	WBGene00007121	35.7141942413333	13.3748072013017
B0250.5	WBGene00007122	1564.77193690164	675.82104217839
B0250.6	WBGene00007123	0.198021012298489	0.407015447077675
B0250.8	WBGene00007125	0.975506004336752	1.01153718455852
B0250.9	WBGene00007126	116.430854519498	57.6310610091618
B0252.1	WBGene00015087	35.4434358354098	11.7285823983746
B0252.2	WBGene00000211	76.93837229505	58.8000187647778
B0252.3	WBGene00015088	116.33050961211	57.3758999138603
B0252.4	WBGene00000886	55.1591536442137	15.1638273498975
B0252.5	WBGene00015089	6.12228503644752	1.78498587017228
B0252.8	WBGene00044615	50.331937411501	39.0569165425817
B0261.1	WBGene00015091	656.267050001073	255.685684410435
B0261.2	WBGene00002583	2328.50705074502	945.662275103217
B0261.4	WBGene00015092	526.103802143282	199.676425091551
B0261.5	WBGene00015093	0.362469115362743	0.202489134605383
B0261.6	WBGene00015094	0.675063163829442	0.401524535440043
B0261.7	WBGene00015095	202.9087198294	65.1020418122443
B0261.8	WBGene00015096	340.87125534487	117.852282783311
B0261.9	WBGene00195057	0.263507782732927	0.202488597076635
B0272.1	WBGene00006538	142.121580529983	66.8581251957506
B0272.2	WBGene00007128	53.5734631633948	20.8101138117211
B0272.3	WBGene00007129	1446.0710452571	719.543927754259
B0272.4	WBGene00007130	325.283007990517	129.842024375249
B0273.1	WBGene00015097	2.07701841261725	1.2985141516121
B0273.2	WBGene00004243	7.10281242146404	1.70073798828129
B0273.3	WBGene00015098	20.048436706581	7.77200627297654
B0273.4	WBGene00006745	353.433495998574	159.886950310641
B0280.1	WBGene00015099	228.966518959055	102.847257150358
B0280.10	WBGene00015105	34.3845555492227	15.8908267823574
B0280.11	WBGene00015106	0.720652147914015	0.20249008227367
B0280.12	WBGene00001613	68.7920532248182	15.3431750560035
B0280.13	WBGene00015107	113.257663986497	52.1865531238005
B0280.17	WBGene00044674	0.364199123638282	0.202489142632323
B0280.2	WBGene00015100	7.18885500348242	6.92608134065653
B0280.3	WBGene00015101	737.693658131927	280.723593109732
B0280.4	WBGene00003845	30.2946874369301	18.8415049303822
B0280.5	WBGene00015102	154.44039129752	48.6488070983444
B0280.7	WBGene00015103	177.183239979596	84.9927424432485
B0280.8	WBGene00003609	303.298514184903	170.473004661353
B0280.9	WBGene00015104	462.667560508541	150.732604509722
B0281.1	WBGene00015108	0.462165759741841	0.202489540910843
B0281.3	WBGene00015110	107.210960154951	41.9535614596001
B0281.4	WBGene00015111	0.364199123638282	0.202489142632323
B0281.5	WBGene00015112	3.51702015691791	5.36837198621083
B0281.6	WBGene00015113	7.01292828366603	1.27144283060238
