wbid	N2	sp117	N2vssp117.log2.deseq	N2vssp117.log2	N2vssp117.log2.pval
2L52.1	WBGene00007063	47.4740971968629	22.7264412908351	0.111781033470381	1.06276877349561	0.967615863133766
2RSSE.1	WBGene00007064	422.205130904143	199.675815609142	0.0942653022550939	1.0802845047109	0.937527793273746
2RSSE.2	WBGene00044165	23.5460745515025	14.2694206142182	0.451990001622537	0.722559805343457	0.790242252924498
3R5.1	WBGene00007065	38.9064125479611	13.4638328419904	-0.356368982234286	1.53091878920028	0.796803013589934
4R79.1	WBGene00003525	92.3221486684935	40.2230162084392	-0.0241057248548571	1.19865553182085	0.995433542083296
4R79.2	WBGene00007067	18.6347284490385	8.05360837137782	-0.0357367647308042	1.2102865716968	0.991920738463924
6R55.2	WBGene00007069	2.65643350134369	0.646440478402046	-0.864351347428365	2.03890115439436	NA
AC3.1	WBGene00005532	1.13437036564996	1.72254483380548	1.77719959121283	-0.602649784246836	NA
AC3.10	WBGene00004964	1.01707539242727	0.68496053178483	0.604215947435806	0.570333859530188	NA
AC3.2	WBGene00007070	248.503858576873	124.906366368043	0.182128565666972	0.992421241299021	0.849181543415963
AC3.3	WBGene00000024	34.0034877749139	15.1260792919061	0.00590516095852043	1.16864464600747	0.99944460112996
AC3.4	WBGene00004098	8.03824986459313	4.07495828478683	0.194453674085283	0.980096132880711	0.97037018900035
AC3.5	WBGene00007071	2849.75234617821	1026.69287998141	-0.298282057056741	1.47283186402274	0.690430496461667
AC3.6	WBGene00000724	2.52098694069988	0.710531953970192	-0.65246740098002	1.82701720794601	NA
AC3.7	WBGene00007072	55.1973837304653	22.6499341422193	-0.110543224728205	1.2850930316942	0.967688634125602
AC3.8	WBGene00007073	113.514976384702	43.5147421508807	-0.208756689739283	1.38330649670528	0.932106621001793
AC7.1	WBGene00006428	6.21182093123086	2.22973138131724	-0.30359651740973	1.47814632437572	0.959723554236063
AC7.2	WBGene00004929	2046.05926510112	741.520626071091	-0.289739398859291	1.46428920582528	0.387601049728305
AC7.3	WBGene00014997	0.344057191112441	0.915819355530936	2.58696446546178	-1.41241465849579	NA
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.459572545659572	0.202489534744154	-0.00789546144069868	1.18244526840669	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	1.08524342897631	0.389553201697823	-0.303576603037843	1.47812641000384	NA
AH10.2	WBGene00007083	0.361796860257921	0.388041185344046	1.27557970211614	-0.101029895150141	NA
AH10.3	WBGene00007084	26.019805400172	9.50655862060259	-0.278065281027382	1.45261508799338	0.910889677633949
AH10.4	WBGene00007085	0.518980692494719	0.388776983411011	0.757811749843076	0.416738057122918	NA
