wbid	N2	sp117
2L52.1	WBGene00007063	43.7735970084238	55.6167006501132
2RSSE.1	WBGene00007064	322.651219740633	266.301598263993
2RSSE.2	WBGene00044165	16.4877516353163	12.4390633358423
3R5.1	WBGene00007065	88.313337564138	122.910409724597
4R79.1	WBGene00003525	2.52440098468599	7.81070052011126
4R79.2	WBGene00007067	35.3036917546143	8.3468618233073
6R55.2	WBGene00007069	1.95101614617073	1.00497273569225
AC3.1	WBGene00005532	3.30603496146616	0.732191846528885
AC3.10	WBGene00004964	154.637817257483	11.9848347053877
AC3.2	WBGene00007070	348.637289309354	296.580654083704
AC3.3	WBGene00000024	31.4713482102199	48.4518990455417
AC3.4	WBGene00004098	26.278276755674	28.2639191762276
AC3.5	WBGene00007071	1645.14793502806	974.943274963581
AC3.6	WBGene00000724	2.92623053902837	0.361491407700642
AC3.7	WBGene00007072	40.7873775731746	22.3811671667923
AC3.8	WBGene00007073	63.8803246569746	37.4480664192144
AC7.1	WBGene00006428	8.49855331529753	10.6069444909269
AC7.2	WBGene00004929	596.323812694789	627.028878993229
AC7.3	WBGene00014997	118.667370191042	5.71160769185735
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	NA	NA
AC8.7	WBGene00007079	0.330206447213669	0.185596141940024
AH10.1	WBGene00007082	1642.39891746891	102.075734645394
AH10.2	WBGene00007083	0.251496400290895	1.39087906461308
AH10.3	WBGene00007084	17.5504842960849	10.6959991816156
AH10.4	WBGene00007085	0.424957443939812	0.704343504237513
AH6.1	WBGene00001528	0.798185029830979	1.00908237552027
AH6.10	WBGene00005032	0.380171529567105	0.361490221210767
AH6.11	WBGene00005033	NA	NA
AH6.12	WBGene00005034	0.251496513632319	0.185595686149121
AH6.14	WBGene00005035	0.251496513632319	0.185595686149121
AH6.2	WBGene00007080	318.866405900602	21.9039400430716
AH6.3	WBGene00007081	615.254420683374	42.6734753340863
AH6.4	WBGene00005027	0.361167227365742	0.185596291962384
AH6.5	WBGene00003231	2967.72699756951	5521.63028272781
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	0.329313706734898	0.361489934764598
AH6.8	WBGene00005030	0.403878368267675	0.361490305315802
AH9.1	WBGene00014998	10.1044777762165	6.84809587134829
AH9.2	WBGene00000797	110.050813579212	188.992771077674
AH9.3	WBGene00014999	85.6468808225752	123.274671424537
AH9.4	WBGene00015000	3.75063712815929	2.32382614597352
AH9.6	WBGene00044701	19.0301299214315	7.41400771797618
AH9.7	WBGene00175029	5.02877977319686	3.36404638676477
B0001.1	WBGene00003010	588.440639395159	864.940790836369
B0001.2	WBGene00007087	858.990099514097	1184.34070690453
B0001.3	WBGene00007088	537.763888041435	702.528671652171
B0001.4	WBGene00007089	885.804215721445	883.246613769582
B0001.5	WBGene00007090	492.78674662737	486.087317607283
B0001.6	WBGene00007091	1278.71408728278	968.975486962428
B0001.7	WBGene00007092	568.116161972649	958.843519292973
B0001.8	WBGene00007093	332.936238774539	518.100673676002
B0019.1	WBGene00000138	459.989299741584	376.226746371222
B0019.2	WBGene00007094	512.808256412304	836.909623193982
B0024.1	WBGene00000722	1697.14360614696	1367.33084221341
B0024.10	WBGene00007100	920.281140671127	1186.71293431756
B0024.11	WBGene00007101	458.057323512756	740.132693809318
B0024.12	WBGene00001646	61.5233845104165	52.0214822301998
B0024.13	WBGene00007102	598.062909350653	709.104623100601
B0024.14	WBGene00007103	338.968420213492	207.277474945319
B0024.15	WBGene00007104	7.6723891485298	2.99400687616125
B0024.2	WBGene00000723	437.040108753888	174.756734596572
B0024.3	WBGene00007096	9.64214868311747	3.34502992766124
B0024.4	WBGene00007097	183.50171004443	293.577650094279
B0024.6	WBGene00001533	2.06960077767445	1.33026806607248
B0024.8	WBGene00000491	47.770488148198	21.7620174975537
B0024.9	WBGene00007099	326.123044058866	333.07990905145
B0025.1	WBGene00006932	520.020318480944	584.088797688551
B0025.2	WBGene00000814	836.927139176509	1083.61041325277
B0025.4	WBGene00015001	157.670114014241	240.061307842931
B0025.5	WBGene00194700	1030.36181664293	105.584510457941
B0034.1	WBGene00015002	62.8492868792767	38.368119156915
B0034.2	WBGene00015003	0.251496513632319	0.185595686149121
B0034.3	WBGene00000403	1675.20902003755	715.216988309847
B0034.4	WBGene00015004	55.7013226172953	4.16838111841289
B0034.5	WBGene00015005	6.49623167376489	1.34233239926753
B0034.7	WBGene00044394	14.0270218084087	3.70043819789758
B0035.1	WBGene00007105	1320.54169438075	1584.47850679306
B0035.10	WBGene00001919	2.81020492552496	20.9233599584816
B0035.11	WBGene00007110	687.865815274648	831.279321266048
B0035.12	WBGene00007111	1284.07360187718	1945.16904572509
B0035.13	WBGene00007112	454.560158790271	312.307621284473
B0035.14	WBGene00001019	936.131249994012	1013.01678881379
B0035.15	WBGene00007113	327.500901928993	361.298386738827
B0035.16	WBGene00007114	53.310361345836	65.2696463391021
B0035.18	WBGene00044290	201.161910585843	180.572550230647
B0035.2	WBGene00001020	201.82144474847	279.275420072188
B0035.3	WBGene00007106	410.592600749926	616.163621737846
B0035.4	WBGene00007107	380.317114587116	532.21599077119
B0035.5	WBGene00007108	755.927300275112	990.325081780683
B0035.6	WBGene00007109	1062.15271096963	1976.0071554379
