wbid	N2	sp117	N2vssp117.log2.deseq	N2vssp117.log2	N2vssp117.log2.pval
2L52.1	WBGene00007063	43.7735970084238	55.6167006501132	0.433420999539829	-0.345457222767343	0.199168696293924
2RSSE.1	WBGene00007064	322.651219740633	266.301598263993	-0.188950615432905	0.276914392205391	0.430405493244625
2RSSE.2	WBGene00044165	16.4877516353163	12.4390633358423	-0.31855304690848	0.406516823680966	0.664508999131188
3R5.1	WBGene00007065	88.313337564138	122.910409724597	0.564867641537535	-0.476903864765049	0.0654584586798105
4R79.1	WBGene00003525	2.52440098468599	7.81070052011126	1.71747463101602	-1.62951085424353	0.235718917861136
4R79.2	WBGene00007067	35.3036917546143	8.3468618233073	-1.99254948581125	2.08051326258374	0.112807262536342
6R55.2	WBGene00007069	1.95101614617073	1.00497273569225	-0.869105578159795	0.957069354932281	0.556728328932216
AC3.1	WBGene00005532	3.30603496146616	0.732191846528885	-2.08684459108166	2.17480836785415	0.353248508600443
AC3.10	WBGene00004964	154.637817257483	11.9848347053877	-3.60164748550085	3.68961126227334	0.0134158662483877
AC3.2	WBGene00007070	348.637289309354	296.580654083704	-0.145338613678178	0.233302390450664	0.729284555124599
AC3.3	WBGene00000024	31.4713482102199	48.4518990455417	2.21597745485473	-0.622514228395615	0.163562026346226
AC3.4	WBGene00004098	26.278276755674	28.2639191762276	0.193054634083713	-0.105090857311227	0.911861753538595
AC3.5	WBGene00007071	1645.14793502806	974.943274963581	-0.666863356854115	0.754827133626601	0.0375717672023342
AC3.6	WBGene00000724	2.92623053902837	0.361491407700642	-2.92904639667827	3.01701017345076	0.0908356221279558
AC3.7	WBGene00007072	40.7873775731746	22.3811671667923	-0.777873701069187	0.865837477841673	0.141421168148463
AC3.8	WBGene00007073	63.8803246569746	37.4480664192144	-0.682516639179443	0.77048041595193	0.293605430234327
AC7.1	WBGene00006428	8.49855331529753	10.6069444909269	0.407683718893432	-0.319719942120946	0.624960392745068
