baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unadj.log2
2L52.1	356.962631793227	0.19037412233172	0.190574654800112	0.998947748489417	0.317820003901678	0.681926784859797	-0.696810811398857
2RSSE.1	1661.16784604668	0.424907753216421	0.447095061391998	0.950374517431488	0.341921987380251	0.700706116188306	-0.931344442283559
2RSSE.2	146.282751531943	0.767853916791392	0.516378873773183	1.48699715613979	0.137015562050767	0.470859196150077	-1.27429060585853
3R5.1	38.3011263730169	-0.351656804741754	0.188951481619469	-1.86109577828005	0.0627306523004727	0.352594476454408	-0.154779884325383
4R79.1	38.9862298287142	0.270603011250411	1.62634460122329	0.166387253382137	0.867852204461515	0.950868721688893	-0.777039700317548
4R79.2	9.30901648950913	0.193007023222469	1.50174389422322	0.128521929714455	0.897735944734272	0.963403650937873	-0.699443712289606
6R55.2	0.873959496261809	0.914484529980833	1.2301449401297	0.743395757807542	0.457242111897845	0.78094351900193	-1.42092121904797
AC3.1	5.4097469903043	-0.422673883947819	0.724856218754526	-0.583114103199766	0.559816490274123	0.837609469589159	-0.0837628051193182
AC3.10	2.31859837402176	2.34728201253258	0.929573767355807	2.52511645117684	0.0115659956481241	0.145680705625053	-2.85371870159972
AC3.2	166.824428988851	-0.403901308945678	0.408978578002802	-0.987585488995736	0.323355695895395	0.685421585443167	-0.102535380121459
AC3.3	4.49259161196463	0.983522856149084	1.61809051927274	0.607829317602784	0.543300682597087	0.829276334862546	-1.48995954521622
AC3.4	0.373657769376459	1.25908235918848	1.89092371841719	0.665855712171408	0.505503330710492	NA	-1.76551904825562
AC3.5	46.5365778960399	3.10263364143413	0.905766411707232	3.42542359854803	0.000613841550429367	0.0177374416412304	-3.60907033050126
AC3.6	2.40666103314622	-0.00652031880776654	0.700896283047955	-0.00930282977020785	0.992577522814859	0.997217632779517	-0.499916370259371
AC3.7	36.0325376823266	-0.484709110505275	0.461422909774583	-1.05046606971047	0.293503882977476	0.658001337857836	-0.0217275785618617
AC3.8	9.09442299994507	1.02279361056881	1.16998508743778	0.874193715416231	0.382012767949976	0.733193293074787	-1.52923029963595
AC7.1	4.9163760316511	0.891283376137315	1.27210899082268	0.700634444506923	0.483531176855996	0.797322544347336	-1.39772006520445
AC7.2	722.194327350121	0.323042243207923	0.730648282832411	0.442130982578412	0.658394425585281	0.874384007344951	-0.829478932275061
AC7.3	0.486761088018653	-2.59385938151779	2.17986494519354	-1.1899174704548	0.234078831133864	0.594639087423836	2.08742269245066
AC8.10	0	NA	NA	NA	NA	NA	NA
AC8.11	0	NA	NA	NA	NA	NA	NA
AC8.12	0	NA	NA	NA	NA	NA	NA
AC8.3	0	NA	NA	NA	NA	NA	NA
AC8.4	0.33319569991863	-2.2566667631407	3.58404093785267	-0.629643132506391	0.528928096726486	NA	1.75023007407356
AC8.7	0	NA	NA	NA	NA	NA	NA
AH10.1	6.46563756755788	-0.256917960451978	1.08966553051959	-0.235776899659724	0.813605794259527	0.931072025124676	-0.249518728615159
AH10.2	30.8085362760189	-1.80490927254015	0.736810838331896	-2.4496236735963	0.0143005589958033	0.165568694151412	1.29847258347301
AH10.3	41.8710987384586	0.543037364270918	1.25184068094107	0.433791114587113	0.664440134517558	0.87662238546046	-1.04947405333806
AH10.4	0.244082621903647	1.682931778135	2.45946960349561	0.684266142481723	0.493807122538784	NA	-2.18936846720213
AH6.1	0.322675122126083	1.52728016169646	2.49091971329918	0.613139056045129	0.539784397663261	NA	-2.0337168507636
