wbid	N2	ty1916
2L52.1	WBGene00007063	366.771794099867	594.506880414214
2RSSE.1	WBGene00007064	1625.97575133885	3100.82086697635
2RSSE.2	WBGene00044165	132.42283192853	320.304150882859
3R5.1	WBGene00007065	42.7683081345767	47.6118940293882
4R79.1	WBGene00003525	39.4281996999102	67.564599251875
4R79.2	WBGene00007067	9.56165818825417	15.5269713653127
6R55.2	WBGene00007069	0.807605462664881	2.16241555270033
AC3.1	WBGene00005532	5.996760551364	6.35523808107482
AC3.10	WBGene00004964	1.20875735275201	8.73763818701919
AC3.2	WBGene00007070	188.267227047454	202.134735741714
AC3.3	WBGene00000024	3.83678167108367	10.77679451694
AC3.4	WBGene00004098	0.40377883873858	1.37283311369708
AC3.5	WBGene00007071	17.0689768178509	208.279206532339
AC3.6	WBGene00000724	2.62034538683739	3.70551317779497
AC3.7	WBGene00007072	40.6919142821929	41.3093892294927
AC3.8	WBGene00007073	7.77447317108147	22.4396025100695
AC7.1	WBGene00006428	4.29860524704539	11.326174010011
AC7.2	WBGene00004929	722.155790019991	1283.3021947753
AC7.3	WBGene00014997	0.790248902177967	0.185946092786412
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.625550729689515	0.185947688226895
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	7.11119340812045	8.45386118701192
AH10.2	WBGene00007083	39.3459705508615	15.9963562050477
AH10.3	WBGene00007084	40.0109966898264	82.8137669198959
AH10.4	WBGene00007085	0.272417702641701	1.24251289984164
AH6.1	WBGene00001528	0.274691549408335	1.12474759650961
AH6.10	WBGene00005032	1.09417865060605	2.20657884154401
AH6.11	WBGene00005033	0.274921049459285	0.362171404887677
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.274920393142924	0.18594620334401
AH6.2	WBGene00007080	0.356889278989204	0.185946674632513
AH6.3	WBGene00007081	0.949285844695792	1.9756669021625
AH6.4	WBGene00005027	1.24427282849587	1.00639691518745
AH6.5	WBGene00003231	3990.00592836584	2599.73804672261
AH6.6	WBGene00005028	0.218954063475947	0.362170604169707
AH6.7	WBGene00005029	0.274921049459285	0.362171404887677
AH6.8	WBGene00005030	NA	NA
AH9.1	WBGene00014998	13.3435339707231	26.3913428852682
AH9.2	WBGene00000797	193.982656606247	197.290206891323
AH9.3	WBGene00014999	652.946037967799	784.651453311026
AH9.4	WBGene00015000	6.11481320430565	10.3847203850104
AH9.6	WBGene00044701	29.6235317702672	60.2507277321111
AH9.7	WBGene00175029	13.9660569875511	42.7371274076992
B0001.1	WBGene00003010	607.683327533248	1155.03438329112
B0001.2	WBGene00007087	246.513332316299	329.103054097258
B0001.3	WBGene00007088	460.742734983227	620.697683936966
B0001.4	WBGene00007089	509.424345023098	595.99242703253
B0001.5	WBGene00007090	573.08720054123	714.188636772582
B0001.6	WBGene00007091	2651.93843648567	5165.44443551214
B0001.7	WBGene00007092	864.523337875966	597.279844073679
B0001.8	WBGene00007093	603.561697803025	447.00339293933
B0019.1	WBGene00000138	154.25002979676	361.931320981495
B0019.2	WBGene00007094	477.529076105739	615.086511391638
B0024.1	WBGene00000722	7.19443211350577	87.2775231678851
B0024.10	WBGene00007100	416.510611547029	412.584033245628
B0024.11	WBGene00007101	493.17390361691	541.930242116861
B0024.12	WBGene00001646	126.467296710668	158.729142218807
B0024.13	WBGene00007102	289.87273557593	328.656521481872
B0024.14	WBGene00007103	208.243865797396	477.680522978874
B0024.15	WBGene00007104	2.6647529796985	6.89620875317582
B0024.2	WBGene00000723	7.42035359240483	69.5772858420963
B0024.3	WBGene00007096	15.828617988731	31.8424170403484
B0024.4	WBGene00007097	3.25077975003527	60.4135503633588
B0024.6	WBGene00001533	2.98108253051302	5.88866554048262
B0024.8	WBGene00000491	125.333678816627	210.568991719932
B0024.9	WBGene00007099	243.413578944136	258.749247430987
B0025.1	WBGene00006932	963.635193677854	1380.89792767387
B0025.2	WBGene00000814	2013.81973015979	1985.44986285317
B0025.4	WBGene00015001	368.544647490038	397.458817572501
B0025.5	WBGene00194700	1.80194810260645	1.84222194218823
