wbid	N2	ty1916	N2vsty1916.log2.deseq	N2vsty1916.log2	N2vsty1916.log2.pval
2L52.1	WBGene00007063	366.771794099867	594.506880414214	0.19037412233172	-0.696810811398857	0.681926784859797
2RSSE.1	WBGene00007064	1625.97575133885	3100.82086697635	0.424907753216421	-0.931344442283559	0.700706116188306
2RSSE.2	WBGene00044165	132.42283192853	320.304150882859	0.767853916791392	-1.27429060585853	0.470859196150077
3R5.1	WBGene00007065	42.7683081345767	47.6118940293882	-0.351656804741754	-0.154779884325383	0.352594476454408
4R79.1	WBGene00003525	39.4281996999102	67.564599251875	0.270603011250411	-0.777039700317548	0.950868721688893
4R79.2	WBGene00007067	9.56165818825417	15.5269713653127	0.193007023222469	-0.699443712289606	0.963403650937873
6R55.2	WBGene00007069	0.807605462664881	2.16241555270033	0.914484529980833	-1.42092121904797	0.78094351900193
AC3.1	WBGene00005532	5.996760551364	6.35523808107482	-0.422673883947819	-0.0837628051193182	0.837609469589159
AC3.10	WBGene00004964	1.20875735275201	8.73763818701919	2.34728201253258	-2.85371870159972	0.145680705625053
AC3.2	WBGene00007070	188.267227047454	202.134735741714	-0.403901308945678	-0.102535380121459	0.685421585443167
AC3.3	WBGene00000024	3.83678167108367	10.77679451694	0.983522856149084	-1.48995954521622	0.829276334862546
AC3.4	WBGene00004098	0.40377883873858	1.37283311369708	1.25908235918848	-1.76551904825562	NA
AC3.5	WBGene00007071	17.0689768178509	208.279206532339	3.10263364143413	-3.60907033050126	0.0177374416412304
AC3.6	WBGene00000724	2.62034538683739	3.70551317779497	-0.00652031880776654	-0.499916370259371	0.997217632779517
AC3.7	WBGene00007072	40.6919142821929	41.3093892294927	-0.484709110505275	-0.0217275785618617	0.658001337857836
AC3.8	WBGene00007073	7.77447317108147	22.4396025100695	1.02279361056881	-1.52923029963595	0.733193293074787
AC7.1	WBGene00006428	4.29860524704539	11.326174010011	0.891283376137315	-1.39772006520445	0.797322544347336
AC7.2	WBGene00004929	722.155790019991	1283.3021947753	0.323042243207923	-0.829478932275061	0.874384007344951
AC7.3	WBGene00014997	0.790248902177967	0.185946092786412	-2.59385938151779	2.08742269245066	0.594639087423836
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.625550729689515	0.185947688226895	-2.2566667631407	1.75023007407356	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	7.11119340812045	8.45386118701192	-0.256917960451978	-0.249518728615159	0.931072025124676
AH10.2	WBGene00007083	39.3459705508615	15.9963562050477	-1.80490927254015	1.29847258347301	0.165568694151412
AH10.3	WBGene00007084	40.0109966898264	82.8137669198959	0.543037364270918	-1.04947405333806	0.87662238546046
