wbid	N2	ty1916
2L52.1	WBGene00007063	47.475524577701	28.9999988316757
2RSSE.1	WBGene00007064	422.258596517396	420.999974514327
2RSSE.2	WBGene00044165	23.5814071978556	32.9999879599082
3R5.1	WBGene00007065	38.9621860630894	7.00000334168365
4R79.1	WBGene00003525	92.3017290118499	85.9999473045349
4R79.2	WBGene00007067	18.619959020654	15.9999972604525
6R55.2	WBGene00007069	2.65353939405242	1.00000108614216
AC3.1	WBGene00005532	1.13453974088243	0.183941282199693
AC3.10	WBGene00004964	1.05439339812181	3.99996698352353
AC3.2	WBGene00007070	248.355660329475	117.000001136213
AC3.3	WBGene00000024	34.0205516885373	22.9999969231767
AC3.4	WBGene00004098	8.01761962139581	2.00000247091959
AC3.5	WBGene00007071	2848.26999879936	980.000055574077
AC3.6	WBGene00000724	2.523691883951	1.99999831585887
AC3.7	WBGene00007072	55.255951183024	15.0000044262668
AC3.8	WBGene00007073	113.518806372964	70.9999942235117
AC7.1	WBGene00006428	6.17727117163324	13.9999839697649
AC7.2	WBGene00004929	2045.24001305314	837.000010126693
AC7.3	WBGene00014997	0.342618258094862	0.183939582151135
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.459302342564571	0.183940928631273
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	1.08403012574858	0.183941648689806
AH10.2	WBGene00007083	0.362305519755568	0.183939838824661
AH10.3	WBGene00007084	26.0277720335696	23.9999948654537
AH10.4	WBGene00007085	0.516026753121736	0.183940753949353
AH6.1	WBGene00001528	1.06150298792171	0.999995266700489
AH6.10	WBGene00005032	2.33707894221002	20.9999444668447
AH6.11	WBGene00005033	0.492042412821324	0.183941209559327
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.360393160273297	0.999980650680861
AH6.2	WBGene00007080	0.461221933379096	0.18394044675372
AH6.3	WBGene00007081	0.263451882893357	0.999960117325099
AH6.4	WBGene00005027	0.758181882620176	0.183941493158058
AH6.5	WBGene00003231	47.2471844266777	4.00000631687577
AH6.6	WBGene00005028	NA	NA
AH6.7	WBGene00005029	0.808646401362597	0.183941168684444
AH6.8	WBGene00005030	0.74916623822117	1.99998403179077
AH9.1	WBGene00014998	15.0198526129478	8.99999918805393
AH9.2	WBGene00000797	20.3087632594871	11.999998884186
AH9.3	WBGene00014999	93.288582888955	39.000001368222
AH9.4	WBGene00015000	9.62829687579262	4.00000087828692
AH9.6	WBGene00044701	66.2448505244747	35.9999995679668
AH9.7	WBGene00175029	6.66174482260699	2.00000161851756
B0001.1	WBGene00003010	485.570626077513	279.999996360111
B0001.2	WBGene00007087	178.566885053161	36.0000089247862
B0001.3	WBGene00007088	339.215172369697	157.000000898328
B0001.4	WBGene00007089	397.761430225199	167.000001448182
B0001.5	WBGene00007090	279.504567545408	138.00000048898
B0001.6	WBGene00007091	1747.63836387368	1061.99998142848
B0001.7	WBGene00007092	110.006170460673	13.0000101977764
B0001.8	WBGene00007093	170.083777196139	82.0000005862302
B0019.1	WBGene00000138	540.681047598473	237.000008264435
B0019.2	WBGene00007094	218.573145836359	67.0000050121051
B0024.1	WBGene00000722	5080.97549456783	1379.00049595607
B0024.10	WBGene00007100	292.042287118152	175.999996516653
B0024.11	WBGene00007101	372.00938667927	163.00000327907
B0024.12	WBGene00001646	139.585058561244	56.0000017444063
B0024.13	WBGene00007102	176.216233354146	97.999999019593
B0024.14	WBGene00007103	547.500438842809	253.000003143515
B0024.15	WBGene00007104	18.0939873619038	7.00000213640141
B0024.2	WBGene00000723	206.127458947457	201.99992987781
B0024.3	WBGene00007096	14.4741096344477	13.9999959284551
B0024.4	WBGene00007097	59.7312644341372	26.0000161322928
B0024.6	WBGene00001533	5.92966838504242	3.00000012658286
B0024.8	WBGene00000491	113.688521479915	65.9999989468754
B0024.9	WBGene00007099	343.242235192289	130.000002176411
B0025.1	WBGene00006932	640.69735887902	391.999995485903
B0025.2	WBGene00000814	553.091338883933	295.999999164189
B0025.4	WBGene00015001	79.9444350102893	44.9999992987122
B0025.5	WBGene00194700	1.86618089114102	0.183941612765508
B0034.1	WBGene00015002	80.7912509776329	93.9999525250106
B0034.2	WBGene00015003	NA	NA
B0034.3	WBGene00000403	3825.82735224087	2557.99983722082
B0034.4	WBGene00015004	4.27311247539717	2.99999877446347
B0034.5	WBGene00015005	6.07732417279453	1.00000296220779
B0034.7	WBGene00044394	32.3860353319076	3.00000649912655
B0035.1	WBGene00007105	870.528624489198	390.000002902953
B0035.10	WBGene00001919	6.81232945947629	3.00000070873805
B0035.11	WBGene00007110	381.751373484009	230.999998296341
B0035.12	WBGene00007111	829.085577454799	344.000003732992
B0035.13	WBGene00007112	350.996136358544	261.999994366423
B0035.14	WBGene00001019	737.521735706504	400.999999414173
B0035.15	WBGene00007113	265.478529662186	86.0000042719714
