wbid	deletion	N2
2L52.1	WBGene00007063	295.341542696633	366.291504448401
2RSSE.1	WBGene00007064	1058.241410031	1626.27168438374
2RSSE.2	WBGene00044165	98.6513568041969	132.4822120155
3R5.1	WBGene00007065	49.3852462446137	42.7682941576828
4R79.1	WBGene00003525	15.6815327006876	39.4236409387007
4R79.2	WBGene00007067	4.3608136799476	9.55892824387059
6R55.2	WBGene00007069	1.38458802682816	0.811391547240341
AC3.1	WBGene00005532	6.54325829607145	5.99665263287953
AC3.10	WBGene00004964	1.96599419595593	1.2194732197303
AC3.2	WBGene00007070	197.622177691808	188.200689182873
AC3.3	WBGene00000024	3.44064553584804	3.83398964459202
AC3.4	WBGene00004098	0.565995923076986	0.400871441294136
AC3.5	WBGene00007071	4.80848959073114	17.0742079811801
AC3.6	WBGene00000724	0.636746813781451	2.596528846779
AC3.7	WBGene00007072	28.7574405717456	40.7167436055967
AC3.8	WBGene00007073	4.26938400462393	7.76158150994703
AC7.1	WBGene00006428	4.53963272550563	4.30467496158175
AC7.2	WBGene00004929	488.650554058401	722.303691903728
AC7.3	WBGene00014997	0.186227763028785	0.793859033352356
AC8.10	WBGene00043988	NA	NA
AC8.11	WBGene00043989	NA	NA
AC8.12	WBGene00043990	NA	NA
AC8.3	WBGene00007075	NA	NA
AC8.4	WBGene00007076	0.186230869727091	0.626657594101607
AC8.7	WBGene00007079	NA	NA
AH10.1	WBGene00007082	1.83023534276493	7.12245715241618
AH10.2	WBGene00007083	19.7991979340599	39.3188115495832
AH10.3	WBGene00007084	17.7650449604602	39.9937626097355
AH10.4	WBGene00007085	0.362720569109508	0.272190960426391
AH6.1	WBGene00001528	0.362720604345814	0.274926972897472
AH6.10	WBGene00005032	0.186230136082586	1.14945753356057
AH6.11	WBGene00005033	0.74080367503107	0.274927675954803
AH6.12	WBGene00005034	NA	NA
AH6.14	WBGene00005035	0.362720604345814	0.274926972897472
AH6.2	WBGene00007080	1.01742239070623	0.354890329487927
AH6.3	WBGene00007081	0.1862295007806	0.950275421021174
AH6.4	WBGene00005027	0.695570393279547	1.24496305560435
AH6.5	WBGene00003231	3489.91114067393	3988.58513832133
AH6.6	WBGene00005028	0.362719801816998	0.218921219329348
AH6.7	WBGene00005029	0.186229379438537	0.274926316556657
AH6.8	WBGene00005030	0.362719801816998	0.218921219329348
AH9.1	WBGene00014998	6.24429235644763	13.4441575825392
AH9.2	WBGene00000797	201.603842012572	193.922754806156
AH9.3	WBGene00014999	792.378054534818	652.862440058818
AH9.4	WBGene00015000	2.55563891021829	6.19028477357428
AH9.6	WBGene00044701	12.0864223694926	29.6293740182113
AH9.7	WBGene00175029	24.2746087343489	14.0648759300954
B0001.1	WBGene00003010	660.415660141505	607.737448161817
B0001.2	WBGene00007087	289.913979933611	246.434282527054
B0001.3	WBGene00007088	489.573556590403	460.526509129336
B0001.4	WBGene00007089	562.746875259192	509.751427054275
B0001.5	WBGene00007090	554.453079187167	574.038833028001
B0001.6	WBGene00007091	2285.10557814296	2651.73165845106
B0001.7	WBGene00007092	606.932859023993	864.143058180232
B0001.8	WBGene00007093	508.76794036868	603.451118922938
B0019.1	WBGene00000138	115.928767669846	154.240604988892
B0019.2	WBGene00007094	488.185774155726	477.394651188815
B0024.1	WBGene00000722	3.91690396934563	7.19794946135824
B0024.10	WBGene00007100	435.872027537051	416.451481479938
B0024.11	WBGene00007101	433.726921817284	493.156289922621
B0024.12	WBGene00001646	157.955437766176	126.472578650559
