wbid	deletion	N2	deletionvsN2.log2.deseq	deletionvsN2.log2	deletionvsN2.log2.pval
2L52.1	WBGene00007063	295.341542696633	366.291504448401	0.341395511807797	-0.310607940395847	0.967314420834831
2RSSE.1	WBGene00007064	1058.241410031	1626.27168438374	0.650687087048943	-0.619899515636996	0.967314420834831
2RSSE.2	WBGene00044165	98.6513568041969	132.4822120155	0.456175439461949	-0.425387868050001	0.967314420834831
3R5.1	WBGene00007065	49.3852462446137	42.7682941576828	-0.176750866666801	0.207538438078735	0.967314420834831
4R79.1	WBGene00003525	15.6815327006876	39.4236409387007	1.36078201866373	-1.32999444725179	0.967314420834831
4R79.2	WBGene00007067	4.3608136799476	9.55892824387059	1.16303909117271	-1.13225151976076	0.967314420834831
6R55.2	WBGene00007069	1.38458802682816	0.811391547240341	-0.74019902795658	0.770986599368521	NA
AC3.1	WBGene00005532	6.54325829607145	5.99665263287953	-0.0950642465447999	0.125851817956745	0.988043459703094
AC3.10	WBGene00004964	1.96599419595593	1.2194732197303	-0.658213414977341	0.689000986389727	0.967314420834831
AC3.2	WBGene00007070	197.622177691808	188.200689182873	-0.0396853765464194	0.0704729479583562	0.991826699936065
AC3.3	WBGene00000024	3.44064553584804	3.83398964459202	0.186954742201516	-0.156167170789569	0.989747220617523
AC3.4	WBGene00004098	0.565995923076986	0.400871441294136	-0.466864448503542	0.497652019915799	NA
AC3.5	WBGene00007071	4.80848959073114	17.0742079811801	1.85895052844745	-1.8281629570355	0.863742097437689
AC3.6	WBGene00000724	0.636746813781451	2.596528846779	2.05858008437819	-2.02779251296607	0.955626933647906
AC3.7	WBGene00007072	28.7574405717456	40.7167436055967	0.532474474495431	-0.50168690308351	0.967314420834831
AC3.8	WBGene00007073	4.26938400462393	7.76158150994703	0.893110289299715	-0.862322717887758	0.967314420834831
AC7.1	WBGene00006428	4.53963272550563	4.30467496158175	-0.045883704635333	0.0766712760472804	0.996665096154159
AC7.2	WBGene00004929	488.650554058401	722.303691903728	0.594589988388919	-0.563802416976971	0.967314420834831
AC7.3	WBGene00014997	0.186227763028785	0.793859033352356	2.12260225275817	-2.09181468134599	NA
AC8.10	WBGene00043988	NA	NA	NA	NA	NA
AC8.11	WBGene00043989	NA	NA	NA	NA	NA
AC8.12	WBGene00043990	NA	NA	NA	NA	NA
AC8.3	WBGene00007075	NA	NA	NA	NA	NA
AC8.4	WBGene00007076	0.186230869727091	0.626657594101607	1.78137270610695	-1.750585134695	NA
AC8.7	WBGene00007079	NA	NA	NA	NA	NA
AH10.1	WBGene00007082	1.83023534276493	7.12245715241618	1.99113343804138	-1.96034586662943	0.967314420834831
AH10.2	WBGene00007083	19.7991979340599	39.3188115495832	1.02056529896738	-0.989777727555449	0.967314420834831
AH10.3	WBGene00007084	17.7650449604602	39.9937626097355	1.20152124766808	-1.17073367625613	0.967314420834831
AH10.4	WBGene00007085	0.362720569109508	0.272190960426391	-0.383451833230872	0.414239404642818	NA
AH6.1	WBGene00001528	0.362720604345814	0.274926972897472	-0.369022672903906	0.399810244315852	NA
AH6.10	WBGene00005032	0.186230136082586	1.14945753356057	2.65658228211579	-2.62579471070366	NA
AH6.11	WBGene00005033	0.74080367503107	0.274927675954803	-1.39925153927889	1.43003911069084	NA
AH6.12	WBGene00005034	NA	NA	NA	NA	NA
AH6.14	WBGene00005035	0.362720604345814	0.274926972897472	-0.369022672903906	0.399810244315852	NA
AH6.2	WBGene00007080	1.01742239070623	0.354890329487927	-1.48868601043274	1.51947358184479	NA
AH6.3	WBGene00007081	0.1862295007806	0.950275421021174	2.38205165625647	-2.35126408484455	NA
AH6.4	WBGene00005027	0.695570393279547	1.24496305560435	0.870622070995763	-0.839834499584124	NA
AH6.5	WBGene00003231	3489.91114067393	3988.58513832133	0.223474341367535	-0.192686769955583	0.969860353872811
AH6.6	WBGene00005028	0.362719801816998	0.218921219329348	-0.697656139435022	0.72844371084697	NA
AH6.7	WBGene00005029	0.186229379438537	0.274926316556657	0.592751893259487	-0.561964321847542	NA
AH6.8	WBGene00005030	0.362719801816998	0.218921219329348	-0.697656139435022	0.72844371084697	NA
AH9.1	WBGene00014998	6.24429235644763	13.4441575825392	1.13715693879454	-1.10636936738264	0.473785991239752
AH9.2	WBGene00000797	201.603842012572	193.922754806156	-0.0252534629271243	0.0560410343390679	0.996665096154159
AH9.3	WBGene00014999	792.378054534818	652.862440058818	-0.248622309005396	0.279409880417337	0.95262135737359
AH9.4	WBGene00015000	2.55563891021829	6.19028477357428	1.30710934082986	-1.2763217694179	0.967314420834831
AH9.6	WBGene00044701	12.0864223694926	29.6293740182113	1.32442845397851	-1.29364088256657	0.967314420834831
AH9.7	WBGene00175029	24.2746087343489	14.0648759300954	-0.756563644292097	0.787351215703988	0.825830324983329
B0001.1	WBGene00003010	660.415660141505	607.737448161817	-0.0891385672085995	0.119926138620549	0.983254588762541
B0001.2	WBGene00007087	289.913979933611	246.434282527054	-0.203634362348626	0.23442193376057	0.967314420834831
B0001.3	WBGene00007088	489.573556590403	460.526509129336	-0.0574538601542151	0.0882414315661636	0.971653143566188
B0001.4	WBGene00007089	562.746875259192	509.751427054275	-0.111904660411021	0.142692231822967	0.967314420834831
B0001.5	WBGene00007090	554.453079187167	574.038833028001	0.0808705312671522	-0.0500829598551899	0.967314420834831
B0001.6	WBGene00007091	2285.10557814296	2651.73165845106	0.245461537671822	-0.214673966259872	0.967314420834831
B0001.7	WBGene00007092	606.932859023993	864.143058180232	0.540520811084516	-0.509733239672573	0.967314420834831
B0001.8	WBGene00007093	508.76794036868	603.451118922938	0.277016722016251	-0.246229150604307	0.967314420834831
B0019.1	WBGene00000138	115.928767669846	154.240604988892	0.442731572013647	-0.411944000601697	0.967314420834831
B0019.2	WBGene00007094	488.185774155726	477.394651188815	-0.00146028155000728	0.0322478529619463	0.999390165847347
B0024.1	WBGene00000722	3.91690396934563	7.19794946135824	0.908659785982274	-0.877872214570327	0.967314420834831
