gene	WBID	chr	start	stop
Y74C9A.1	WBGene00022275	CHROMOSOME_I	43732	44677
Y48G1C.5	WBGene00021678	CHROMOSOME_I	55315	64021
Y48G1C.12	WBGene00044345	CHROMOSOME_I	47471	49819
Y48G1C.4	WBGene00021677	CHROMOSOME_I	49918	54426
Y48G1C.1	WBGene00021676	CHROMOSOME_I	93030	94881
Y48G1C.13	WBGene00189949	CHROMOSOME_I	94957	95367
Y74C9A.3	WBGene00022277	CHROMOSOME_I	4118	10232
Y74C9A.4	WBGene00022278	CHROMOSOME_I	17482	26781
Y74C9A.5	WBGene00022279	CHROMOSOME_I	27594	32482
Y48G1C.9	WBGene00021682	CHROMOSOME_I	91379	92877
Y48G1C.10	WBGene00021683	CHROMOSOME_I	81200	84959
Y48G1C.11	WBGene00021684	CHROMOSOME_I	82118	91020
Y48G1C.6	WBGene00021679	CHROMOSOME_I	84989	86284
Y48G1C.2	WBGene00000812	CHROMOSOME_I	71857	81071
Y48G1C.7	WBGene00021680	CHROMOSOME_I	96478	101733
Y48G1C.8	WBGene00021681	CHROMOSOME_I	101212	108161
Y74C9A.2	WBGene00022276	CHROMOSOME_I	10412	16842
F53G12.1	WBGene00004274	CHROMOSOME_I	108671	110077
F53G12.8	WBGene00018773	CHROMOSOME_I	113806	114711
F53G12.6	WBGene00004962	CHROMOSOME_I	118103	120870
F53G12.4	WBGene00018772	CHROMOSOME_I	134336	137332
F53G12.11	WBGene00018775	CHROMOSOME_I	145235	145627
F53G12.7	WBGene00000622	CHROMOSOME_I	115738	117502
F53G12.3	WBGene00018771	CHROMOSOME_I	137844	144565
F56C11.1	WBGene00000253	CHROMOSOME_I	145967	154850
F56C11.2	WBGene00004225	CHROMOSOME_I	160171	166819
K10E9.1	WBGene00019634	CHROMOSOME_I	189057	202489
F56C11.4	WBGene00018956	CHROMOSOME_I	183363	184221
Y48G1BL.2	WBGene00000227	CHROMOSOME_I	203036	208467
Y48G1BL.7	WBGene00021666	CHROMOSOME_I	209319	211733
Y48G1BL.5	WBGene00021664	CHROMOSOME_I	219734	220560
Y48G1BL.1	WBGene00021662	CHROMOSOME_I	216004	219099
Y48G1BL.4	WBGene00021663	CHROMOSOME_I	217147	217431
Y48G1BL.6	WBGene00021665	CHROMOSOME_I	221063	221575
Y48G1BM.6	WBGene00021671	CHROMOSOME_I	231573	238252
Y48G1BM.1	WBGene00021667	CHROMOSOME_I	252117	254129
Y48G1BM.7	WBGene00021672	CHROMOSOME_I	238615	239021
Y48G1BM.8	WBGene00021673	CHROMOSOME_I	248623	251580
C53D5.3	WBGene00016904	CHROMOSOME_I	280119	280445
F53G12.5	WBGene00003229	CHROMOSOME_I	127296	134271
F56C11.6	WBGene00018958	CHROMOSOME_I	173411	175991
F56C11.5	WBGene00018957	CHROMOSOME_I	178537	182159
F56C11.3	WBGene00018955	CHROMOSOME_I	182078	182771
Y48G1A.5	WBGene00002079	CHROMOSOME_I	318542	323353
Y48G1A.4	WBGene00021660	CHROMOSOME_I	323860	330991
Y48G1BM.9	WBGene00021674	CHROMOSOME_I	254708	258692
Y48G1BR.1	WBGene00021675	CHROMOSOME_I	257413	259157
C53D5.2	WBGene00016903	CHROMOSOME_I	283499	286153
C53D5.4	WBGene00016905	CHROMOSOME_I	286088	289139
Y48G1A.3	WBGene00021659	CHROMOSOME_I	332609	337845
F53G12.10	WBGene00004418	CHROMOSOME_I	111035	112417
